,Dataset,Method,Train-MSE-Mean,Train-MSE-Std,Train-CI-LB,Train-CI-UB,TrainMSE-Min,Test-MSE-Mean,Test-MSE-Std,Test-CI-LB,Test-CI-UB,Test-MSE-Min,Step1-MSE-Mean,Step1-MSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-MSE-Min,Step2-MSE-Mean,Step2-MSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-MSE-Min,Step3-MSE-Mean,Step3-MSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-MSE-Min
0,obs,RF,0.0231,0.0005,0.0228,0.0234,0.0224,0.1158,0.002,0.1145,0.117,0.1127,0.1158,0.002,0.1145,0.117,0.1127,0.2569,0.0022,0.2555,0.2583,0.2525,0.4153,0.0023,0.4138,0.4167,0.4113
1,obs,DNN,2.1488,0.9154,1.5815,2.7162,1.0267,1.5112,0.6597,1.1023,1.9201,0.8059,1.7143,0.6217,1.3289,2.0996,0.7023,1.4087,1.0039,0.7865,2.0309,0.5191,1.4106,0.9839,0.8008,2.0205,0.5605
2,sg5,RF,0.0201,0.0004,0.0199,0.0204,0.0195,0.1298,0.0028,0.1281,0.1315,0.1266,0.1298,0.0028,0.1281,0.1315,0.1266,0.2798,0.0047,0.2769,0.2827,0.2731,0.4351,0.0049,0.432,0.4381,0.4277
3,sg5,DNN,3.3863,2.0811,2.0964,4.6762,1.4127,2.2855,1.2462,1.5132,3.0579,0.9614,2.9938,3.3147,0.9394,5.0483,0.5189,2.0233,1.5256,1.0777,2.9688,0.544,1.8395,1.1596,1.1208,2.5582,0.4941
4,sg7,RF,0.0153,0.0004,0.015,0.0155,0.0149,0.1409,0.0016,0.1399,0.1419,0.1379,0.1409,0.0016,0.1399,0.1419,0.1379,0.2802,0.0032,0.2782,0.2822,0.2756,0.4159,0.0039,0.4134,0.4183,0.4081
5,sg7,DNN,2.0277,0.7358,1.5716,2.4837,1.2915,1.4141,0.5202,1.0916,1.7365,0.8399,1.5165,1.3678,0.6688,2.3642,0.4944,1.3868,0.6528,0.9822,1.7914,0.6325,1.3389,0.8162,0.833,1.8448,0.5038
6,sg9,RF,0.0118,0.0003,0.0116,0.0119,0.0114,0.1196,0.0026,0.118,0.1213,0.1161,0.1196,0.0026,0.118,0.1213,0.1161,0.2533,0.0024,0.2518,0.2548,0.2509,0.3994,0.003,0.3975,0.4012,0.3947
7,sg9,DNN,2.1351,1.1052,1.4501,2.8201,1.149,1.5044,0.7586,1.0342,1.9747,0.7485,1.8758,1.8647,0.72,3.0315,0.4977,0.8321,0.4702,0.5407,1.1236,0.5005,1.8054,1.2193,1.0497,2.5611,0.5491
8,ew2,RF,0.0183,0.0003,0.0181,0.0185,0.0179,0.1286,0.0018,0.1275,0.1298,0.1251,0.1286,0.0018,0.1275,0.1298,0.1251,0.2712,0.0021,0.2699,0.2725,0.2679,0.4185,0.0032,0.4165,0.4205,0.4136
9,ew2,DNN,2.241,1.1217,1.5457,2.9362,1.1484,1.5597,0.6527,1.1552,1.9643,0.7955,1.5474,0.6735,1.13,1.9649,0.8162,1.1394,0.774,0.6597,1.6191,0.522,1.9923,1.3903,1.1306,2.854,0.552
10,ew3,RF,0.0129,0.0003,0.0128,0.0131,0.0124,0.1313,0.0021,0.13,0.1326,0.1289,0.1313,0.0021,0.13,0.1326,0.1289,0.2722,0.0026,0.2706,0.2738,0.2675,0.4109,0.0041,0.4084,0.4134,0.4037
11,ew3,DNN,1.9814,1.3023,1.1743,2.7886,0.6654,1.4278,0.8243,0.9169,1.9387,0.6306,1.6866,1.3391,0.8566,2.5166,0.5799,1.6409,1.3993,0.7736,2.5082,0.4488,0.9558,0.3861,0.7165,1.1951,0.6254
12,ew4,RF,0.0108,0.0003,0.0107,0.011,0.0105,0.1441,0.0029,0.1423,0.1458,0.1381,0.1441,0.0029,0.1423,0.1458,0.1381,0.3042,0.0027,0.3025,0.3058,0.2998,0.45,0.0027,0.4484,0.4517,0.4446
13,ew4,DNN,1.7623,0.7999,1.2665,2.258,0.7001,1.4314,0.5423,1.0953,1.7676,0.7199,1.8605,1.2147,1.1076,2.6134,0.5157,0.9661,0.333,0.7598,1.1725,0.4756,1.4676,1.1467,0.7569,2.1784,0.5484
14,or,RF,0.0248,0.0003,0.0246,0.025,0.0243,0.1294,0.0025,0.1279,0.131,0.1258,0.1294,0.0025,0.1279,0.131,0.1258,0.2931,0.0028,0.2914,0.2948,0.2875,0.4767,0.0038,0.4744,0.4791,0.4708
15,or,DNN,2.9861,1.9172,1.7978,4.1743,1.4848,1.884,1.0756,1.2174,2.5507,0.8934,2.2136,1.7251,1.1444,3.2828,0.624,1.168,0.5342,0.8369,1.4991,0.5126,2.2705,1.546,1.3123,3.2288,0.4982
