,Dataset,Method,Train-MSE-Mean,Train-MSE-Std,Train-CI-LB,Train-CI-UB,TrainMSE-Min,Test-MSE-Mean,Test-MSE-Std,Test-CI-LB,Test-CI-UB,Test-MSE-Min,Step1-MSE-Mean,Step1-MSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-MSE-Min,Step2-MSE-Mean,Step2-MSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-MSE-Min,Step3-MSE-Mean,Step3-MSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-MSE-Min
0,obs,RF,0.0232,0.0004,0.023,0.0235,0.0224,0.1443,0.0019,0.1432,0.1455,0.1423,0.1443,0.0019,0.1432,0.1455,0.1423,0.3847,0.004,0.3822,0.3871,0.3772,0.6459,0.0062,0.6421,0.6497,0.6342
1,obs,DNN,2.5799,1.0519,1.928,3.2319,1.1211,3.0146,1.3066,2.2048,3.8244,1.0466,2.501,1.895,1.3265,3.6755,0.9422,3.8202,4.0208,1.3281,6.3123,0.7662,2.7225,1.4358,1.8326,3.6125,0.899
2,sg5,RF,0.0199,0.0004,0.0197,0.0201,0.0193,0.1343,0.0017,0.1333,0.1353,0.1319,0.1343,0.0017,0.1333,0.1353,0.1319,0.3517,0.0042,0.3491,0.3543,0.3459,0.6069,0.0065,0.6029,0.6109,0.5972
3,sg5,DNN,2.5602,1.5978,1.5699,3.5506,0.9965,3.0458,1.9313,1.8488,4.2428,1.0937,3.3381,1.875,2.176,4.5003,0.9447,2.7817,2.6859,1.117,4.4465,0.747,3.0174,2.0683,1.7355,4.2994,0.8055
4,sg7,RF,0.0149,0.0002,0.0148,0.0151,0.0144,0.1311,0.0012,0.1304,0.1318,0.1293,0.1311,0.0012,0.1304,0.1318,0.1293,0.3304,0.0019,0.3293,0.3316,0.3282,0.5711,0.0035,0.5689,0.5732,0.5661
5,sg7,DNN,1.9476,0.7979,1.453,2.4421,0.9832,2.2808,0.9191,1.7112,2.8505,1.1287,2.3634,1.2853,1.5668,3.16,0.7939,1.991,1.6511,0.9676,3.0144,0.7232,2.4881,1.7227,1.4203,3.5558,0.8078
6,sg9,RF,0.0116,0.0003,0.0114,0.0118,0.0109,0.1307,0.0022,0.1294,0.1321,0.1272,0.1307,0.0022,0.1294,0.1321,0.1272,0.3073,0.003,0.3054,0.3091,0.3026,0.5104,0.0044,0.5077,0.5131,0.5012
7,sg9,DNN,3.5714,1.8245,2.4405,4.7022,1.2723,4.4917,2.2838,3.0762,5.9072,1.6025,3.0326,2.0724,1.7481,4.3171,0.9696,4.5034,4.5582,1.6783,7.3286,0.8391,5.939,5.8643,2.3042,9.5737,0.8521
8,ew2,RF,0.0181,0.0004,0.0179,0.0184,0.0173,0.1346,0.0024,0.1332,0.1361,0.1323,0.1346,0.0024,0.1332,0.1361,0.1323,0.339,0.0025,0.3375,0.3406,0.3348,0.5628,0.0043,0.5602,0.5655,0.556
9,ew2,DNN,2.5407,1.0792,1.8718,3.2096,0.8665,3.0867,1.3307,2.2619,3.9114,0.9659,4.0975,3.4751,1.9436,6.2513,0.7742,3.0189,2.8472,1.2542,4.7836,0.8703,2.1436,1.3688,1.2953,2.992,0.818
10,ew3,RF,0.0131,0.0002,0.013,0.0132,0.0127,0.1368,0.0016,0.1358,0.1378,0.1342,0.1368,0.0016,0.1358,0.1378,0.1342,0.3114,0.0013,0.3107,0.3122,0.3096,0.5196,0.0025,0.518,0.5211,0.5158
11,ew3,DNN,2.1452,1.5449,1.1877,3.1027,1.1325,2.7135,1.8827,1.5466,3.8805,1.4098,1.5383,0.7401,1.0795,1.997,0.7924,2.6594,1.5985,1.6687,3.6501,0.8739,3.943,4.4679,1.1737,6.7122,1.1522
12,ew4,RF,0.0109,0.0002,0.0108,0.0111,0.0106,0.1451,0.0016,0.1441,0.1461,0.1435,0.1451,0.0016,0.1441,0.1461,0.1435,0.321,0.0017,0.32,0.322,0.3189,0.5231,0.0033,0.521,0.5251,0.518
13,ew4,DNN,2.4191,1.2539,1.6419,3.1963,0.6448,3.296,1.6708,2.2604,4.3316,0.8635,3.5776,1.7493,2.4933,4.6619,0.9267,3.9263,4.0279,1.4298,6.4229,0.7881,2.3841,1.4347,1.4949,3.2733,0.7848
14,or,RF,0.0248,0.0004,0.0246,0.0251,0.0242,0.1477,0.0022,0.1463,0.1491,0.143,0.1477,0.0022,0.1463,0.1491,0.143,0.3895,0.0032,0.3875,0.3915,0.3826,0.6498,0.0029,0.648,0.6516,0.6444
15,or,DNN,1.9417,0.6894,1.5144,2.369,1.0041,2.3033,0.8085,1.8021,2.8044,1.0824,3.0498,1.9945,1.8136,4.286,0.9107,1.8199,1.1277,1.1209,2.5188,0.7638,2.0401,1.129,1.3404,2.7398,0.7784
