,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.00104,-0.15542,-0.05995,-0.05409,-0.04138
Exp2,0.00323,-0.14776,-0.058,-0.05134,-0.03841
Exp3,0.00198,-0.14571,-0.05784,-0.05096,-0.0369
Exp4,0.00019,-0.14799,-0.05816,-0.05184,-0.03799
Exp5,0.00286,-0.15216,-0.05939,-0.05295,-0.03982
Exp6,-0.00155,-0.15281,-0.0601,-0.05332,-0.03938
Exp7,0.00444,-0.1559,-0.06059,-0.0546,-0.0407
Exp8,-0.00048,-0.15343,-0.05985,-0.05381,-0.03977
Exp9,-0.0007,-0.14571,-0.05959,-0.05087,-0.03526
Exp10,0.00151,-0.14935,-0.06007,-0.05206,-0.03722
