,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-3.48371,-4.08862,-1.59545,-0.63946,-1.85371
Exp2,-4.35434,-4.86069,-1.36882,-1.63018,-1.86169
Exp3,-1.38027,-1.85111,-0.13183,-1.05601,-0.66327
Exp4,-2.86182,-3.33325,-1.83241,-0.88641,-0.61444
Exp5,-4.00331,-4.84383,-2.46738,-1.05968,-1.31677
Exp6,-3.62301,-4.25517,-2.74573,-0.80307,-0.70637
Exp7,-3.35548,-3.82476,-1.85733,-0.68335,-1.28408
Exp8,-3.16256,-3.65573,-0.05642,-2.10016,-1.49915
Exp9,-3.30383,-3.73256,-1.87331,-0.37176,-1.48749
Exp10,-1.77228,-2.3416,-0.95723,-2.37749,0.99311
