,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-0.00184,-0.06508,-0.04579,-0.02597,0.00668
Exp2,-0.00217,-0.08681,-0.04721,-0.03315,-0.00644
Exp3,-0.00273,-0.08391,-0.04578,-0.032,-0.00613
Exp4,0.00333,-0.07508,-0.04402,-0.02891,-0.00215
Exp5,-0.00177,-0.08073,-0.04629,-0.03125,-0.00319
Exp6,8e-05,-0.08955,-0.04872,-0.03453,-0.0063
Exp7,-0.00143,-0.08553,-0.0496,-0.03221,-0.00372
Exp8,-0.00118,-0.07901,-0.04682,-0.03002,-0.00217
Exp9,-0.00264,-0.08339,-0.05049,-0.03235,-0.00055
Exp10,-0.00238,-0.08136,-0.0466,-0.03135,-0.00342
