,Dataset,Method,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
0,obs,RF,0.2674,0.0027,0.2657,0.2691,0.2623,1.0827,0.0048,1.0797,1.0856,1.0717,0.3791,0.0024,0.3777,0.3806,0.3755,0.6193,0.0033,0.6173,0.6213,0.612,0.8031,0.0035,0.8009,0.8052,0.7947
1,obs,DNN,2.5765,0.7013,2.1418,3.0112,1.671,2.7677,0.7958,2.2744,3.2609,1.6391,1.5703,0.6667,1.1571,1.9835,0.8779,1.3386,0.4675,1.0488,1.6283,0.8878,1.7258,0.6279,1.3366,2.115,0.8946
2,sg5,RF,0.2441,0.0031,0.2421,0.246,0.237,1.0429,0.0024,1.0414,1.0443,1.0379,0.3658,0.0017,0.3648,0.3668,0.3628,0.5915,0.002,0.5903,0.5927,0.5876,0.7771,0.0013,0.7763,0.7779,0.7747
3,sg5,DNN,2.8888,0.835,2.3712,3.4063,1.5821,3.1145,0.9641,2.5169,3.712,1.5427,1.5961,0.6477,1.1947,1.9976,0.88,1.8031,0.7947,1.3105,2.2956,0.9005,1.8725,0.5228,1.5485,2.1965,0.8914
4,sg7,RF,0.2133,0.0028,0.2115,0.215,0.2088,1.0154,0.0047,1.0125,1.0183,1.0063,0.3614,0.0024,0.3599,0.3629,0.3579,0.5743,0.0028,0.5725,0.576,0.5692,0.7554,0.0035,0.7533,0.7576,0.7482
5,sg7,DNN,2.6214,0.7578,2.1517,3.0911,1.7426,2.8455,0.8071,2.3453,3.3457,1.8699,1.7563,0.539,1.4223,2.0904,0.9613,1.7334,0.6372,1.3385,2.1284,0.8857,1.3117,0.4915,1.007,1.6164,0.8636
6,sg9,RF,0.1873,0.0028,0.1856,0.1891,0.1822,0.9727,0.0032,0.9707,0.9747,0.968,0.3621,0.002,0.3608,0.3633,0.3584,0.5533,0.0019,0.5521,0.5545,0.5507,0.7133,0.0024,0.7118,0.7148,0.7094
7,sg9,DNN,2.1668,0.4311,1.8996,2.434,1.5594,2.3819,0.504,2.0695,2.6943,1.7169,1.5467,0.4526,1.2662,1.8272,0.9708,1.2608,0.3593,1.0381,1.4834,0.8717,1.2186,0.3557,0.9982,1.4391,0.8959
8,ew2,RF,0.2336,0.0023,0.2322,0.235,0.2285,1.0174,0.0034,1.0153,1.0195,1.0114,0.3675,0.0015,0.3666,0.3684,0.3652,0.5823,0.0019,0.5811,0.5835,0.5783,0.749,0.0029,0.7472,0.7507,0.7451
9,ew2,DNN,2.2715,0.4022,2.0222,2.5208,1.7073,2.4978,0.4292,2.2318,2.7638,1.8897,1.144,0.3072,0.9536,1.3343,0.8294,1.6278,0.5971,1.2577,1.9979,0.8808,1.3687,0.375,1.1363,1.6012,0.9214
10,ew3,RF,0.1976,0.0016,0.1966,0.1986,0.1957,0.9858,0.0034,0.9837,0.988,0.9793,0.3709,0.0025,0.3693,0.3724,0.3665,0.5589,0.0019,0.5577,0.5601,0.5556,0.7225,0.0029,0.7207,0.7243,0.7174
11,ew3,DNN,2.3635,0.3578,2.1417,2.5852,1.7354,2.6375,0.3943,2.3931,2.8819,1.9808,1.6269,0.3866,1.3873,1.8666,0.9711,1.1338,0.2951,0.9509,1.3167,0.8008,1.6306,0.5329,1.3003,1.9609,0.9581
12,ew4,RF,0.1805,0.0021,0.1791,0.1818,0.1765,0.9947,0.0031,0.9928,0.9966,0.9882,0.3814,0.0028,0.3797,0.3832,0.3759,0.5665,0.0017,0.5655,0.5676,0.5626,0.7231,0.0016,0.7222,0.7241,0.7202
13,ew4,DNN,2.5702,0.6323,2.1782,2.9621,1.6847,2.9481,0.7187,2.5026,3.3936,1.982,1.8217,0.9395,1.2394,2.404,0.8339,1.3066,0.3306,1.1017,1.5115,0.9583,1.6581,0.6639,1.2466,2.0696,0.9126
14,or,RF,0.273,0.0016,0.272,0.274,0.2705,1.0888,0.0056,1.0853,1.0923,1.0802,0.3834,0.0033,0.3814,0.3854,0.3792,0.6233,0.0035,0.6211,0.6255,0.6188,0.8063,0.0043,0.8036,0.8089,0.7985
15,or,DNN,2.3992,0.5127,2.0814,2.717,1.6592,2.5885,0.5806,2.2286,2.9483,1.7213,1.5451,0.4294,1.279,1.8113,0.8877,1.5356,0.5754,1.179,1.8922,0.8941,1.2865,0.348,1.0708,1.5022,0.8754
