,Dataset,Method,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
0,obs,DNN,0.2461,0.0064,0.2405,0.2517,0.2346,0.912,0.0086,0.9044,0.9195,0.9018,0.3496,0.005,0.3452,0.354,0.3433,0.5225,0.0065,0.5168,0.5282,0.5167,0.6607,0.0051,0.6561,0.6652,0.6545
1,obs,RF,1.2027,0.0572,1.1525,1.2528,1.1196,1.3164,0.076,1.2497,1.383,1.2038,0.7026,0.1658,0.5572,0.8479,0.4341,0.7938,0.0205,0.7759,0.8118,0.7699,0.7657,0.0262,0.7427,0.7886,0.7248
2,sg5,DNN,0.2488,0.0028,0.2464,0.2513,0.2446,0.9144,0.0079,0.9075,0.9213,0.905,0.3444,0.004,0.3408,0.3479,0.339,0.5247,0.0055,0.5199,0.5296,0.5184,0.6649,0.0047,0.6608,0.669,0.6581
3,sg5,RF,1.0084,0.0534,0.9616,1.0553,0.9354,1.1697,0.0652,1.1125,1.2268,1.0777,0.5882,0.0318,0.5603,0.616,0.5404,0.6684,0.0626,0.6135,0.7233,0.5947,0.7565,0.0493,0.7133,0.7998,0.6995
4,sg7,DNN,0.2511,0.0009,0.2503,0.2519,0.2502,0.9203,0.0048,0.9161,0.9244,0.912,0.3494,0.0016,0.348,0.3509,0.3474,0.5285,0.0047,0.5243,0.5326,0.5194,0.6674,0.0032,0.6646,0.6702,0.6635
5,sg7,RF,1.1793,0.1546,1.0438,1.3148,0.9785,1.3256,0.1403,1.2027,1.4486,1.1467,0.683,0.0714,0.6204,0.7456,0.5721,0.7756,0.1668,0.6294,0.9217,0.637,0.8211,0.0445,0.782,0.8601,0.7627
6,sg9,DNN,0.2468,0.0025,0.2446,0.249,0.2427,0.9108,0.0055,0.906,0.9156,0.9035,0.3447,0.0086,0.3372,0.3522,0.3336,0.5228,0.0035,0.5197,0.5258,0.5184,0.6613,0.0043,0.6576,0.665,0.6534
7,sg9,RF,1.0308,0.0599,0.9783,1.0832,0.96,1.1944,0.0445,1.1554,1.2335,1.1272,0.5871,0.0408,0.5513,0.6228,0.524,0.7115,0.0365,0.6795,0.7436,0.6732,0.7557,0.06,0.7031,0.8083,0.6882
8,ew2,DNN,0.2518,0.004,0.2483,0.2552,0.2469,0.9188,0.0026,0.9165,0.921,0.9151,0.3466,0.0039,0.3431,0.35,0.3416,0.5265,0.0019,0.5249,0.5282,0.5231,0.6684,0.0032,0.6656,0.6712,0.6648
9,ew2,RF,1.0713,0.0854,0.9965,1.1461,0.9426,1.2363,0.0607,1.183,1.2895,1.1674,0.6101,0.0527,0.564,0.6563,0.5107,0.7293,0.0625,0.6745,0.7841,0.6698,0.7874,0.0354,0.7564,0.8184,0.7329
10,ew3,DNN,0.248,0.0047,0.2438,0.2522,0.244,0.908,0.0075,0.9014,0.9145,0.8983,0.3443,0.0049,0.3401,0.3486,0.3398,0.521,0.0046,0.5169,0.525,0.5138,0.6591,0.0047,0.655,0.6632,0.6536
11,ew3,RF,1.2286,0.1222,1.1214,1.3357,1.0843,1.2968,0.0655,1.2395,1.3542,1.2201,0.6607,0.0189,0.6441,0.6773,0.6375,0.7196,0.0573,0.6693,0.7698,0.6345,0.8507,0.0665,0.7924,0.9089,0.7846
12,ew4,DNN,0.252,0.0024,0.2499,0.254,0.2497,0.908,0.0059,0.9029,0.9132,0.9003,0.3461,0.0069,0.3401,0.3521,0.3345,0.5206,0.0037,0.5173,0.5238,0.5157,0.6585,0.0044,0.6547,0.6624,0.6501
13,ew4,RF,1.1916,0.2069,1.0103,1.3729,0.9397,1.2905,0.1167,1.1882,1.3928,1.1238,0.67,0.082,0.5981,0.7418,0.5702,0.7663,0.093,0.6848,0.8478,0.622,0.7907,0.0476,0.749,0.8324,0.7278
14,or,DNN,0.2481,0.0008,0.2475,0.2488,0.2471,0.9127,0.0047,0.9086,0.9168,0.9034,0.3441,0.0063,0.3386,0.3496,0.3338,0.5239,0.0029,0.5213,0.5264,0.5185,0.6634,0.0025,0.6612,0.6656,0.6602
15,or,RF,1.0581,0.0757,0.9917,1.1245,0.9277,1.215,0.0993,1.1279,1.302,1.0956,0.5963,0.0977,0.5106,0.6819,0.4569,0.6957,0.0509,0.651,0.7403,0.6321,0.7931,0.0733,0.7289,0.8573,0.7059
