,Dataset,Method,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
0,obs,RF,0.2499,0.004,0.2474,0.2523,0.2414,0.9191,0.0101,0.9128,0.9254,0.8991,0.348,0.0065,0.344,0.352,0.3354,0.5268,0.0065,0.5228,0.5308,0.5137,0.6679,0.0068,0.6637,0.6721,0.6573
1,obs,DNN,2.1681,0.5128,1.8503,2.4859,1.5414,1.8725,0.3738,1.6408,2.1042,1.2682,0.9951,0.2328,0.8508,1.1394,0.7196,0.9867,0.2755,0.816,1.1575,0.6898,1.1952,0.3515,0.9773,1.413,0.784
2,sg5,RF,0.2337,0.0022,0.2324,0.2351,0.2295,0.8976,0.0071,0.8933,0.902,0.8855,0.3364,0.0049,0.3333,0.3394,0.3293,0.5139,0.0044,0.5112,0.5166,0.5056,0.6546,0.0051,0.6515,0.6578,0.6481
3,sg5,DNN,2.0231,0.6128,1.6432,2.4029,1.3634,1.9398,0.4139,1.6833,2.1963,1.5273,1.0096,0.186,0.8943,1.1249,0.6493,1.2128,0.4015,0.964,1.4617,0.7235,1.0954,0.2195,0.9593,1.2314,0.8563
4,sg7,RF,0.2064,0.0036,0.2042,0.2086,0.2026,0.8895,0.0071,0.8851,0.8939,0.8804,0.3433,0.0053,0.3401,0.3466,0.3368,0.508,0.0053,0.5047,0.5113,0.5012,0.6444,0.0049,0.6414,0.6474,0.6389
5,sg7,DNN,1.8219,0.3572,1.6005,2.0433,1.3471,1.691,0.2075,1.5624,1.8196,1.4434,1.0112,0.2551,0.8531,1.1693,0.6192,0.904,0.1743,0.796,1.012,0.6979,0.9731,0.1427,0.8846,1.0615,0.7922
6,sg9,RF,0.1817,0.0036,0.1795,0.1839,0.1773,0.8913,0.0062,0.8874,0.8952,0.8787,0.3477,0.005,0.3445,0.3508,0.3406,0.5102,0.0047,0.5073,0.5131,0.5007,0.6429,0.0034,0.6408,0.6449,0.6368
7,sg9,DNN,1.8871,0.4971,1.579,2.1951,1.1754,1.84,0.3474,1.6247,2.0553,1.3387,1.0313,0.2599,0.8702,1.1924,0.7012,1.0163,0.2156,0.8826,1.15,0.7843,1.0977,0.3012,0.911,1.2844,0.8059
8,ew2,RF,0.2239,0.0047,0.221,0.2269,0.2156,0.8983,0.0138,0.8897,0.9069,0.8759,0.3544,0.0081,0.3494,0.3595,0.3414,0.5171,0.0086,0.5118,0.5224,0.5021,0.6433,0.008,0.6384,0.6483,0.6309
9,ew2,DNN,2.0043,0.2014,1.8794,2.1291,1.7015,1.8559,0.1402,1.769,1.9428,1.671,0.9427,0.1955,0.8216,1.0639,0.5662,1.0929,0.202,0.9677,1.2181,0.7471,1.1053,0.2832,0.9297,1.2808,0.8178
10,ew3,RF,0.1933,0.0039,0.1909,0.1958,0.1854,0.9009,0.0055,0.8975,0.9043,0.8906,0.3595,0.0062,0.3557,0.3634,0.3507,0.5187,0.0038,0.5164,0.521,0.5125,0.6429,0.0034,0.6408,0.645,0.6379
11,ew3,DNN,2.0161,0.502,1.7049,2.3272,1.2209,1.934,0.3038,1.7457,2.1223,1.5891,0.997,0.1753,0.8884,1.1056,0.7306,1.1618,0.3621,0.9374,1.3863,0.7537,1.1391,0.1718,1.0326,1.2455,0.8908
12,ew4,RF,0.1707,0.0027,0.1691,0.1724,0.1656,0.9321,0.0077,0.9273,0.9368,0.9193,0.3637,0.0052,0.3605,0.367,0.3554,0.5402,0.0048,0.5372,0.5431,0.5333,0.6668,0.005,0.6637,0.6699,0.659
13,ew4,DNN,1.7022,0.4139,1.4457,1.9588,0.9838,1.7843,0.2831,1.6089,1.9598,1.3864,0.9307,0.255,0.7726,1.0887,0.6261,1.0741,0.2714,0.9059,1.2423,0.7543,1.0394,0.1585,0.9412,1.1376,0.7851
14,or,RF,0.2546,0.0041,0.2521,0.2571,0.2499,0.9204,0.0085,0.9151,0.9257,0.9042,0.3459,0.0065,0.3418,0.3499,0.332,0.5251,0.0052,0.522,0.5283,0.5161,0.6721,0.0054,0.6687,0.6754,0.6641
15,or,DNN,2.339,0.7796,1.8558,2.8222,1.5526,2.0341,0.5545,1.6905,2.3778,1.4275,1.1785,0.569,0.8258,1.5311,0.6738,0.9896,0.1752,0.881,1.0982,0.7494,1.2428,0.422,0.9813,1.5043,0.7504
