,Dataset,Method,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
0,obs,RF,0.245,0.0017,0.2439,0.246,0.2428,0.9104,0.0025,0.9089,0.912,0.9071,0.3452,0.0018,0.3441,0.3464,0.3419,0.5219,0.0017,0.5208,0.5229,0.5198,0.6613,0.0017,0.6603,0.6624,0.6587
1,obs,DNN,3.225,1.1353,2.5214,3.9287,1.6809,2.8155,0.9029,2.2558,3.3751,1.4752,1.4826,0.6631,1.0716,1.8936,0.8659,1.3564,0.6839,0.9325,1.7803,0.7289,1.8442,0.6292,1.4542,2.2342,0.7683
2,sg5,RF,0.2336,0.0016,0.2326,0.2346,0.231,0.8988,0.0029,0.8971,0.9006,0.8938,0.3394,0.0023,0.338,0.3409,0.3354,0.5138,0.0018,0.5127,0.515,0.5112,0.6547,0.0018,0.6536,0.6558,0.6515
3,sg5,DNN,2.6565,0.8641,2.1209,3.1921,1.77,2.2946,0.6218,1.9093,2.68,1.5932,1.2255,0.2919,1.0446,1.4065,0.8065,1.2813,0.357,1.06,1.5026,0.7785,1.3842,0.6161,1.0024,1.766,0.83
4,sg7,RF,0.2022,0.0017,0.2012,0.2033,0.1998,0.8858,0.0043,0.8831,0.8885,0.8802,0.3387,0.0045,0.3359,0.3415,0.3322,0.5062,0.0032,0.5043,0.5082,0.5018,0.6432,0.0023,0.6418,0.6446,0.6401
5,sg7,DNN,2.2615,0.4367,1.9908,2.5322,1.5507,2.0051,0.3897,1.7635,2.2466,1.3378,1.0531,0.2488,0.8989,1.2074,0.6792,1.2416,0.3216,1.0423,1.4409,0.7437,1.099,0.3853,0.8602,1.3378,0.7592
6,sg9,RF,0.1764,0.0013,0.1756,0.1772,0.1744,0.8903,0.002,0.8891,0.8915,0.8857,0.3466,0.0021,0.3453,0.3479,0.3443,0.5102,0.0015,0.5093,0.5111,0.5068,0.642,0.0016,0.641,0.643,0.6387
7,sg9,DNN,2.6777,0.6618,2.2675,3.0879,1.9995,2.3276,0.5033,2.0156,2.6395,1.7997,1.2489,0.5762,0.8917,1.606,0.7293,1.3149,0.3652,1.0885,1.5412,0.7301,1.3203,0.4169,1.0619,1.5787,0.744
8,ew2,RF,0.2182,0.0018,0.2171,0.2192,0.2147,0.8963,0.0027,0.8946,0.898,0.891,0.351,0.0031,0.3491,0.3529,0.347,0.516,0.0019,0.5148,0.5172,0.5128,0.6433,0.0017,0.6422,0.6444,0.6397
9,ew2,DNN,2.5412,0.5889,2.1763,2.9062,1.9076,2.2104,0.4089,1.957,2.4639,1.687,1.1561,0.3021,0.9689,1.3434,0.7975,1.4,0.4395,1.1276,1.6724,0.7603,1.1637,0.3435,0.9508,1.3766,0.7618
10,ew3,RF,0.1875,0.0019,0.1863,0.1887,0.1841,0.899,0.0037,0.8967,0.9013,0.8941,0.3569,0.002,0.3556,0.3581,0.3536,0.5181,0.0022,0.5167,0.5194,0.5151,0.6422,0.0025,0.6407,0.6438,0.6389
11,ew3,DNN,2.5312,0.8793,1.9862,3.0762,1.4821,2.2287,0.6634,1.8175,2.6398,1.3637,1.2316,0.5571,0.8863,1.5769,0.7234,1.1317,0.4258,0.8677,1.3956,0.7342,1.3581,0.523,1.0339,1.6822,0.7241
12,ew4,RF,0.1682,0.0023,0.1667,0.1696,0.1648,0.9298,0.0033,0.9277,0.9318,0.9232,0.3626,0.0024,0.3611,0.364,0.3592,0.5388,0.0022,0.5375,0.5402,0.5347,0.6653,0.002,0.6641,0.6666,0.6614
13,ew4,DNN,2.5014,0.4676,2.2116,2.7913,1.6845,2.3096,0.3801,2.074,2.5451,1.5455,1.2137,0.5323,0.8838,1.5437,0.7463,1.2145,0.2978,1.0299,1.3991,0.7872,1.375,0.5175,1.0542,1.6957,0.7748
14,or,RF,0.2502,0.0023,0.2487,0.2516,0.2459,0.924,0.0045,0.9212,0.9268,0.9157,0.3492,0.0036,0.347,0.3514,0.3406,0.5277,0.0033,0.5256,0.5297,0.5205,0.6734,0.0024,0.6719,0.6749,0.6695
15,or,DNN,2.405,0.3466,2.1902,2.6197,1.7138,2.119,0.2499,1.9641,2.2739,1.7496,1.1872,0.2888,1.0082,1.3663,0.7028,1.1357,0.2258,0.9958,1.2756,0.7766,1.2398,0.4262,0.9756,1.504,0.7265
