,Dataset,Method,Train-MSE-Mean,Train-MSE-Std,Train-CI-LB,Train-CI-UB,TrainMSE-Min,Test-MSE-Mean,Test-MSE-Std,Test-CI-LB,Test-CI-UB,Test-MSE-Min,Step1-MSE-Mean,Step1-MSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-MSE-Min,Step2-MSE-Mean,Step2-MSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-MSE-Min,Step3-MSE-Mean,Step3-MSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-MSE-Min
0,obs,RF,3.3861,0.0374,3.3629,3.4092,3.3135,78.3019,1.3982,77.4352,79.1685,76.6374,78.3019,1.3982,77.4352,79.1685,76.6374,113.5015,1.1659,112.7789,114.2241,111.5481,163.3714,1.4123,162.496,164.2467,160.6779
1,obs,DNN,16874.5583,10841.8247,10154.7258,23594.3909,9011.063,22504.4808,14444.9233,13551.4246,31457.537,12742.0951,17294.552,6381.8245,13339.0562,21250.0479,3507.4676,27955.5959,23437.2313,13429.0494,42482.1423,14628.8069,22263.2945,21372.0592,9016.755,35509.834,2602.5154
2,sg5,RF,2.268,0.0455,2.2398,2.2962,2.2014,80.6131,1.4619,79.707,81.5192,78.6969,80.6131,1.4619,79.707,81.5192,78.6969,112.5347,1.1944,111.7944,113.275,109.9159,168.2999,1.5279,167.3529,169.247,165.0514
3,sg5,DNN,19415.0837,8542.7289,14120.2454,24709.9219,12255.5534,25900.8789,11465.9317,18794.2208,33007.537,16285.4763,18952.0453,13747.9369,10430.9857,27473.1049,683.1692,18458.6619,13041.6743,10375.3484,26541.9753,1292.0114,40291.9296,41641.8029,14482.0728,66101.7864,15359.9426
4,sg7,RF,1.6798,0.0318,1.6601,1.6995,1.6154,72.7034,1.5576,71.738,73.6688,69.757,72.7034,1.5576,71.738,73.6688,69.757,99.0383,1.5365,98.086,99.9906,97.0692,149.3416,1.8401,148.2012,150.4821,146.918
5,sg7,DNN,15893.029,12887.3296,7905.3793,23880.6786,7900.606,21266.6154,17495.8056,10422.6027,32110.628,10588.8929,13368.8292,6838.1398,9130.5062,17607.1521,442.7137,35720.4424,48922.6618,5397.8625,66043.0223,14644.1127,14710.5745,5254.6746,11453.6935,17967.4556,453.9872
6,sg9,RF,1.2561,0.0192,1.2442,1.268,1.2236,63.6655,0.8844,63.1174,64.2137,62.222,63.6655,0.8844,63.1174,64.2137,62.222,82.7598,0.9674,82.1603,83.3594,81.3061,121.6554,1.8585,120.5034,122.8073,118.4049
7,sg9,DNN,14917.0441,6859.8803,10665.2462,19168.8419,9678.5651,19853.1525,9222.0044,14137.295,25569.0101,12875.9335,14383.0106,3260.6462,12362.0412,16403.9801,7329.1116,28499.7318,32329.7554,8461.5418,48537.9218,13033.4175,16676.7151,5337.9685,13368.208,19985.2223,6839.5474
8,ew2,RF,2.0731,0.0257,2.0572,2.0891,2.0248,78.5713,1.6736,77.5339,79.6086,75.7258,78.5713,1.6736,77.5339,79.6086,75.7258,99.263,1.4769,98.3476,100.1783,97.2547,144.2677,1.8489,143.1217,145.4137,141.4588
9,ew2,DNN,17119.984,10379.5606,10686.6657,23553.3024,3444.3076,22990.2015,13951.5947,14342.9135,31637.4894,4783.7964,21879.7623,12139.2957,14355.7489,29403.7758,704.9014,24480.5241,30375.7028,5653.4685,43307.5798,365.8434,22610.3179,20816.1301,9708.3468,35512.289,644.8039
10,ew3,RF,1.5611,0.0257,1.5452,1.5771,1.5113,74.8206,1.3819,73.9641,75.6771,72.8247,74.8206,1.3819,73.9641,75.6771,72.8247,89.9399,1.2007,89.1958,90.6841,88.3028,124.9901,1.3064,124.1804,125.7998,122.9978
11,ew3,DNN,17216.5907,10832.8412,10502.3261,23930.8552,5442.2348,23219.5153,14445.6805,14265.9898,32173.0409,7703.2443,26593.9921,25105.7763,11033.2708,42154.7134,3501.1891,18022.9865,15650.1127,8322.9461,27723.0269,609.0237,25041.5673,15512.0633,15427.0908,34656.0438,4526.6947
12,ew4,RF,1.2628,0.0137,1.2543,1.2713,1.2448,76.952,1.1047,76.2673,77.6367,74.7651,76.952,1.1047,76.2673,77.6367,74.7651,89.733,0.95,89.1442,90.3219,88.0566,121.4842,1.3671,120.6368,122.3315,118.7716
13,ew4,DNN,14980.5692,6637.0878,10866.8595,19094.2788,4680.4,20085.2344,8962.3626,14530.3046,25640.1643,6303.9235,19742.834,15514.1331,10127.0747,29358.5933,3777.4061,13179.8402,5294.3188,9898.3874,16461.2929,945.1455,27333.0291,22310.5038,13504.8356,41161.2226,7745.2623
14,or,RF,1.2658,0.0165,1.2556,1.276,1.2484,77.4373,2.1444,76.1082,78.7664,74.3328,77.4373,2.1444,76.1082,78.7664,74.3328,90.2083,1.8082,89.0875,91.329,87.8536,122.0498,2.1585,120.712,123.3877,119.3327
15,or,DNN,17273.9307,15304.4086,7788.1599,26759.7014,9809.9673,23165.0082,20450.8353,10489.4491,35840.5672,13329.4446,16357.607,8902.7998,10839.5945,21875.6195,3798.3531,31932.8206,54628.0642,-1926.0044,65791.6455,1212.1559,21204.5969,13338.4354,12937.349,29471.8448,1639.0516
