,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12432.64101,16530.7534,16691.91257,16461.2557,16439.09194
Exp2,12337.19492,16420.81745,10552.80365,17327.48424,21382.16447
Exp3,12362.42078,16450.17516,16688.75097,16414.59772,16247.17678
Exp4,12398.55372,16491.67896,16579.79219,16363.01378,16532.23093
Exp5,8468.6538,11476.76399,11858.66906,10990.0069,11581.61602
Exp6,38492.14465,52255.96522,26259.5334,56111.67485,74396.68741
Exp7,12326.10915,16408.54487,16661.44309,16135.97585,16428.21567
Exp8,12509.51626,16618.89021,16747.56562,16559.15876,16549.94625
Exp9,19184.74564,25664.56659,30285.01163,15739.48939,30969.19875
Exp10,70431.59007,95191.3004,426.75835,22433.64842,262713.49441
