,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,3.38104,77.11478,77.11478,113.77498,164.01996
Exp2,3.43603,79.75492,79.75492,114.14312,164.15294
Exp3,3.38767,77.01203,77.01203,113.42321,163.04674
Exp4,3.4244,77.91004,77.91004,112.75341,162.28204
Exp5,3.37911,77.91111,77.91111,111.54812,160.67788
Exp6,3.36663,77.04193,77.04193,111.86189,161.69441
Exp7,3.34245,79.6417,79.6417,115.58298,165.16734
Exp8,3.31352,81.03578,81.03578,114.77829,164.33487
Exp9,3.4342,78.95897,78.95897,113.75166,163.13677
Exp10,3.39548,76.63737,76.63737,113.39712,165.20063
