,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,63100.82925,84375.41332,3798.35308,195135.259,54192.62788
Exp2,13898.15694,19513.20673,21036.66586,18927.26934,18575.68501
Exp3,12402.01295,16495.61801,16476.97882,16520.42999,16489.44523
Exp4,12355.87138,16442.55367,16283.04513,16694.52916,16350.08672
Exp5,12317.33963,16398.49353,16382.9047,16250.88788,16561.68803
Exp6,12257.87855,16330.15932,16151.69369,16499.93037,16338.85391
Exp7,12482.22216,16585.35261,16486.54286,16669.8459,16599.66908
Exp8,12012.3978,16077.2787,37701.28294,8891.50156,1639.05162
Exp9,9809.96729,13329.4446,3850.12229,1212.15586,34926.05563
Exp10,12102.63063,16102.56117,15408.48086,12526.39653,20372.80611
