,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.30455,74.33284,74.33284,87.85362,119.40702
Exp2,1.26066,76.65191,76.65191,89.97242,122.02099
Exp3,1.25475,80.03684,80.03684,92.35721,124.57394
Exp4,1.24838,81.06345,81.06345,92.85872,124.55519
Exp5,1.2877,75.43886,75.43886,88.19998,119.65202
Exp6,1.25172,79.3218,79.3218,92.42315,125.22115
Exp7,1.2573,75.35646,75.35646,88.65698,120.40928
Exp8,1.26179,76.13899,76.13899,88.45564,119.33271
Exp9,1.26548,78.90864,78.90864,91.21953,123.06647
Exp10,1.26583,77.12345,77.12345,90.08552,122.25951
