,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,14724.35084,19894.90299,24191.68264,7740.93015,27752.09617
Exp2,10521.62518,14111.94953,26685.08246,3026.73629,12624.02983
Exp3,10798.0525,14333.09176,19544.32509,14886.7024,8568.24779
Exp4,128954.40442,172634.76913,61969.6505,285470.85044,170463.80646
Exp5,12380.51354,16428.85101,16535.62486,16378.23955,16372.68863
Exp6,12354.33218,16398.78464,16420.62832,16494.529,16281.1966
Exp7,12253.03805,16282.61732,16185.69757,16326.27107,16335.88333
Exp8,12380.55411,16428.87137,16702.42019,16178.41825,16405.77566
Exp9,12300.3099,16336.83491,16256.33731,16417.61916,16336.54825
Exp10,11235.69048,15608.10413,7068.17122,9185.57489,30570.56628
