,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,2.06579,78.58455,78.58455,99.34591,143.11187
Exp2,2.03399,77.46027,77.46027,98.82322,143.51495
Exp3,2.06648,79.14907,79.14907,99.05143,143.03342
Exp4,2.09341,77.49849,77.49849,98.58995,143.66061
Exp5,2.08215,79.50276,79.50276,100.08028,145.31081
Exp6,2.04743,80.03949,80.03949,100.33702,144.27045
Exp7,2.05484,79.48837,79.48837,100.2962,145.00207
Exp8,2.0759,80.6629,80.6629,101.46619,146.21716
Exp9,2.0519,77.12715,77.12715,97.07176,142.26235
Exp10,2.08522,79.23976,79.23976,99.45642,142.90291
