,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,3.40353,76.36781,76.36781,111.5025,162.07641
Exp2,3.35435,79.0381,79.0381,116.93033,169.25633
Exp3,3.42458,79.98948,79.98948,115.72099,167.48855
Exp4,3.40171,77.6813,77.6813,113.55619,165.32281
Exp5,3.39433,78.96473,78.96473,114.19671,164.39196
Exp6,3.35569,78.24214,78.24214,114.82059,165.93101
Exp7,3.34577,78.40323,78.40323,114.81142,165.41113
Exp8,3.42408,78.30249,78.30249,114.42335,162.66369
Exp9,3.40211,79.74953,79.74953,114.70053,163.9306
Exp10,3.39076,78.55683,78.55683,114.25966,163.69518
