,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12277.89693,16318.03878,16337.24684,16413.37977,16203.48972
Exp2,12326.36576,16371.14838,16362.48852,16363.06599,16387.89064
Exp3,12405.28362,16461.46676,16400.13926,16733.99277,16250.26827
Exp4,12405.60657,16461.92609,16325.35634,16580.68534,16479.73659
Exp5,9932.46559,13235.66491,8598.33435,12157.57986,18951.08052
Exp6,12540.86598,16616.95783,16526.89326,16597.94042,16726.03982
Exp7,12344.022,16391.32613,16299.94425,16534.7617,16339.27245
Exp8,14674.57534,19677.60871,23881.53037,12260.18458,22891.11119
Exp9,35513.80366,47616.97714,735.15844,32635.62057,109480.15241
Exp10,12478.50208,16545.53094,16504.50607,16516.80722,16615.27952
