,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.27043,65.28019,65.28019,84.59865,124.47577
Exp2,1.25799,63.13599,63.13599,81.89967,120.20092
Exp3,1.24979,64.16653,64.16653,83.63029,123.45849
Exp4,1.25614,64.21115,64.21115,83.81922,123.60905
Exp5,1.29515,62.95364,62.95364,82.18682,121.50565
Exp6,1.25516,64.07446,64.07446,83.57001,123.67038
Exp7,1.26103,62.886,62.886,81.61854,120.12986
Exp8,1.2803,64.23385,64.23385,83.54142,122.58131
Exp9,1.28601,63.2824,63.2824,82.35373,121.65109
Exp10,1.21964,62.62321,62.62321,81.87898,120.91663
