,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.4281,0.1749,0.7773,0.3341,0.6189,0.3482,0.8011,-0.077,0.0691,0.0244,0.1179,0.0567,22.4219,15.8051,54.0299,14.1662
RNN-obs,0.2503,0.0066,0.2578,0.2381,0.8882,0.0058,0.899,0.8815,0.0403,0.0005,0.0409,0.0396,6.6561,0.2516,7.1183,6.3683
GRU-obs,0.2521,0.0067,0.2619,0.2431,0.8866,0.006,0.8946,0.8777,0.04,0.001,0.0415,0.039,6.508,0.0732,6.6261,6.4303
DNN-obs,0.3469,0.0051,0.3527,0.3381,0.7855,0.0063,0.7963,0.7783,0.0562,0.0007,0.057,0.0554,14.32,0.1198,14.5547,14.22
LSTM-obs,0.2529,0.0114,0.2703,0.2408,0.8858,0.0103,0.8967,0.8698,0.0413,0.0014,0.0437,0.0399,5.8783,0.0904,6.0395,5.7618
CNN-sg5,0.4285,0.1764,0.7811,0.3344,0.6172,0.3524,0.8006,-0.0874,0.0693,0.0246,0.1185,0.0568,21.3764,17.0117,55.3995,12.8018
RNN-sg5,0.243,0.0223,0.276,0.219,0.8939,0.0196,0.9145,0.8642,0.0406,0.0024,0.0446,0.0383,3.0151,0.2064,3.2546,2.7116
GRU-sg5,0.3649,0.0053,0.3731,0.3578,0.7627,0.007,0.7718,0.7519,0.0604,0.0026,0.0643,0.0562,2.4912,0.0464,2.5821,2.4534
DNN-sg5,0.3458,0.0047,0.352,0.3374,0.7869,0.0058,0.7971,0.7792,0.0562,0.0006,0.057,0.0556,12.684,0.1399,12.87,12.4358
LSTM-sg5,0.3799,0.0338,0.4372,0.3444,0.7407,0.0471,0.7886,0.6593,0.0623,0.0038,0.0663,0.056,2.4006,0.0743,2.4914,2.2752
CNN-sg7,0.5249,0.2318,0.8122,0.3312,0.4132,0.4727,0.8045,-0.1758,0.0838,0.0326,0.1245,0.0571,29.1637,22.2595,56.4582,10.88
RNN-sg7,0.2183,0.0065,0.2264,0.2095,0.915,0.0051,0.9218,0.9086,0.0399,0.0032,0.0461,0.0375,2.0394,0.0481,2.1066,1.9816
GRU-sg7,0.2941,0.0089,0.3076,0.2811,0.8457,0.0093,0.8592,0.8313,0.0415,0.001,0.0427,0.0396,1.8517,0.0399,1.9031,1.7852
DNN-sg7,0.3402,0.0049,0.3453,0.3338,0.7937,0.0059,0.8014,0.7874,0.0569,0.0002,0.0571,0.0565,10.9494,0.1308,11.1214,10.8
LSTM-sg7,0.2968,0.0365,0.3517,0.2557,0.8406,0.0396,0.8834,0.7795,0.0459,0.0051,0.053,0.0415,1.6911,0.0235,1.7125,1.6459
CNN-sg9,0.4375,0.1999,0.8373,0.3354,0.5876,0.4185,0.7995,-0.2495,0.072,0.029,0.1299,0.0573,19.4865,19.7782,59.0428,9.5807
RNN-sg9,0.2247,0.0106,0.2366,0.208,0.9099,0.0084,0.9229,0.9003,0.0434,0.0027,0.0484,0.0413,1.9028,0.2818,2.4419,1.6369
GRU-sg9,0.2856,0.0084,0.2953,0.2737,0.8545,0.0085,0.8665,0.8446,0.0453,0.0015,0.0471,0.0427,1.5157,0.0444,1.5603,1.4453
DNN-sg9,0.3432,0.0026,0.3476,0.3398,0.79,0.0032,0.7942,0.7846,0.0572,0.0002,0.0574,0.0569,9.4447,0.0783,9.5649,9.3252
LSTM-sg9,0.2815,0.0284,0.3235,0.2419,0.8573,0.0286,0.8957,0.8135,0.05,0.0038,0.0545,0.0448,1.4266,0.0571,1.4805,1.3163
CNN-ew2,0.6087,0.2145,0.7877,0.3364,0.2576,0.4318,0.7983,-0.1058,0.0942,0.0304,0.1197,0.057,38.1968,21.2627,55.7666,12.0849
RNN-ew2,0.2457,0.004,0.2507,0.2394,0.8923,0.0035,0.8979,0.8879,0.0398,0.0012,0.041,0.038,4.1614,0.137,4.413,4.0247
GRU-ew2,0.2482,0.0033,0.2543,0.245,0.8902,0.003,0.8931,0.8848,0.0394,0.0007,0.0405,0.0385,3.8831,0.0918,3.9962,3.7392
DNN-ew2,0.3464,0.0026,0.3489,0.3427,0.7861,0.0033,0.7907,0.783,0.0561,0.0004,0.0568,0.0557,11.9729,0.0836,12.0885,11.8393
