,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7667,0.0396,0.8428,0.7386,-0.0496,0.1116,0.0285,-0.265
RNN-obs,0.8495,0.0589,0.921,0.7665,-0.2912,0.1779,-0.0462,-0.5104
GRU-obs,0.9008,0.113,1.0705,0.7823,-0.4677,0.3725,-0.0897,-1.0404
DNN-obs,0.7607,0.0031,0.7657,0.7568,-0.0305,0.0085,-0.0198,-0.0441
LSTM-obs,0.9255,0.0613,0.9858,0.8477,-0.5319,0.1996,-0.2796,-0.7306
CNN-sg5,0.7769,0.0356,0.8473,0.7522,-0.077,0.1016,-0.0076,-0.2784
RNN-sg5,0.9455,0.081,1.0922,0.865,-0.6038,0.2837,-0.3323,-1.1241
GRU-sg5,1.6652,0.0371,1.7053,1.5991,-3.9404,0.2182,-3.5532,-4.1786
DNN-sg5,0.762,0.0036,0.7656,0.7556,-0.0338,0.0097,-0.0165,-0.0436
LSTM-sg5,1.6663,0.0979,1.7745,1.5157,-3.9615,0.5731,-3.0906,-4.6071
CNN-sg7,0.8049,0.0608,0.8832,0.7496,-0.1603,0.1769,-0.0006,-0.3889
RNN-sg7,0.8586,0.0874,1.0075,0.7661,-0.3264,0.2754,-0.0452,-0.8074
GRU-sg7,0.9981,0.0768,1.0939,0.8966,-0.7844,0.271,-0.4314,-1.1309
DNN-sg7,0.7707,0.0075,0.7833,0.7611,-0.0579,0.0206,-0.0314,-0.0926
LSTM-sg7,1.1798,0.199,1.4862,0.9883,-1.5492,0.8727,-0.7393,-2.9331
CNN-sg9,0.8113,0.0504,0.9111,0.7771,-0.1766,0.1522,-0.0752,-0.4781
RNN-sg9,0.8909,0.0313,0.9332,0.8407,-0.4151,0.0987,-0.2585,-0.5508
GRU-sg9,1.0524,0.0502,1.1369,0.9824,-0.9767,0.19,-0.7185,-1.3015
DNN-sg9,0.7884,0.0063,0.7989,0.7801,-0.1069,0.0176,-0.0836,-0.1364
LSTM-sg9,1.158,0.1341,1.3048,0.9835,-1.42,0.5466,-0.7223,-2.0319
CNN-ew2,0.8184,0.0396,0.855,0.764,-0.1954,0.1141,-0.0395,-0.3018
RNN-ew2,0.8646,0.0633,0.967,0.7795,-0.3383,0.1971,-0.082,-0.665
GRU-ew2,0.961,0.0608,1.0538,0.8738,-0.6511,0.2088,-0.3597,-0.9776
DNN-ew2,0.7682,0.006,0.7766,0.7599,-0.0508,0.0165,-0.0282,-0.0739
LSTM-ew2,0.9587,0.0639,1.0432,0.8674,-0.644,0.2181,-0.3399,-0.9379
CNN-ew3,0.8321,0.0499,0.8763,0.758,-0.2374,0.1456,-0.0231,-0.3675
RNN-ew3,0.9271,0.0596,1.0121,0.8473,-0.5368,0.1981,-0.2784,-0.8242
GRU-ew3,0.9567,0.0531,1.0347,0.8719,-0.635,0.1801,-0.3537,-0.9065
DNN-ew3,0.7691,0.0058,0.774,0.7584,-0.0534,0.0158,-0.0243,-0.0668
LSTM-ew3,1.0429,0.0761,1.113,0.8987,-0.9472,0.271,-0.4383,-1.2059
CNN-ew4,0.8213,0.0559,0.8967,0.7703,-0.2069,0.1657,-0.0567,-0.4318
RNN-ew4,0.9413,0.0624,1.0215,0.8613,-0.5845,0.2087,-0.321,-0.8579
GRU-ew4,0.9618,0.0343,1.0091,0.9046,-0.6495,0.1166,-0.4571,-0.8134
DNN-ew4,0.7707,0.0062,0.7797,0.7636,-0.0577,0.017,-0.0383,-0.0827
LSTM-ew4,1.0659,0.0329,1.1182,1.0206,-1.0251,0.1253,-0.855,-1.2265
CNN-or,0.7701,0.0305,0.8255,0.7387,-0.0576,0.0851,0.0282,-0.2133
RNN-or,0.7414,0.0325,0.762,0.6766,0.0193,0.0831,0.1847,-0.0339
GRU-or,0.7738,0.0286,0.8206,0.7329,-0.0678,0.0793,0.0434,-0.1991
DNN-or,0.7592,0.0046,0.7663,0.7526,-0.0264,0.0125,-0.0087,-0.0457
LSTM-or,0.9241,0.2374,1.3803,0.7108,-0.6211,0.9055,0.1004,-2.3927
