,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.6731,0.1339,0.805,0.4463,0.1606,0.2991,0.645,-0.1549,0.1013,0.0218,0.1244,0.0659,45.662,15.2142,62.4861,21.0278
RNN-obs,0.6087,0.0907,0.7516,0.5262,0.325,0.2053,0.5066,-0.0069,0.0903,0.0145,0.1136,0.0756,37.9788,10.0321,54.3317,28.7829
GRU-obs,0.6507,0.0605,0.7682,0.6034,0.2389,0.1489,0.3511,-0.0519,0.0969,0.0098,0.1155,0.0886,42.0117,7.1325,55.463,35.8519
DNN-obs,0.5922,0.1706,0.8731,0.3967,0.323,0.3915,0.7195,-0.3587,0.097,0.0437,0.1796,0.0601,47.0119,37.7975,119.3666,17.1547
LSTM-obs,0.6264,0.0437,0.6759,0.5686,0.2972,0.0971,0.4238,0.1858,0.0939,0.0066,0.1026,0.086,40.1399,4.9285,46.3229,33.9821
CNN-sg5,0.6913,0.0816,0.7631,0.5562,0.1364,0.1931,0.4487,-0.0379,0.1031,0.0142,0.1156,0.0805,46.6952,10.0426,55.0432,31.7547
RNN-sg5,0.5417,0.0594,0.6358,0.4593,0.4708,0.1166,0.6241,0.2795,0.0807,0.0086,0.0947,0.0694,31.1595,6.2557,41.4419,23.1011
GRU-sg5,0.5708,0.0483,0.6364,0.5016,0.4151,0.0984,0.5515,0.2783,0.0854,0.0066,0.0931,0.0759,34.0591,4.8381,39.8981,27.0558
DNN-sg5,0.4211,0.063,0.5285,0.3645,0.6769,0.1,0.7631,0.5022,0.0638,0.0068,0.0753,0.0579,19.3584,4.3642,26.6201,15.6879
LSTM-sg5,0.6066,0.0179,0.6278,0.5761,0.3435,0.0384,0.4085,0.2975,0.0912,0.0027,0.0948,0.0871,37.6455,1.8558,40.2658,34.6479
CNN-sg7,0.6063,0.1876,0.8159,0.3822,0.282,0.4009,0.7396,-0.1866,0.0944,0.0299,0.1289,0.0595,41.556,21.7471,67.4984,16.9093
RNN-sg7,0.5268,0.0351,0.5848,0.485,0.5032,0.0671,0.5808,0.3905,0.0783,0.005,0.0859,0.0728,29.4229,3.8759,35.1405,25.1703
GRU-sg7,0.6401,0.02,0.6717,0.6199,0.269,0.046,0.3152,0.1958,0.0943,0.0029,0.0989,0.0915,40.36,2.1789,43.7861,38.0869
DNN-sg7,0.6634,0.1609,0.8288,0.4462,0.1695,0.3675,0.6452,-0.2244,0.1074,0.0351,0.16,0.0666,53.3366,29.7423,101.2576,20.5683
LSTM-sg7,0.6217,0.033,0.6633,0.5706,0.3092,0.0727,0.4198,0.2159,0.0938,0.0053,0.0998,0.0859,39.7067,4.3421,44.6617,33.2302
CNN-sg9,0.7073,0.072,0.7668,0.5825,0.0991,0.1744,0.3953,-0.0479,0.1053,0.0128,0.1161,0.0837,46.8465,8.9515,54.8111,32.3293
RNN-sg9,0.6071,0.0531,0.6804,0.5202,0.3381,0.1132,0.5178,0.1749,0.0898,0.0071,0.101,0.0789,37.4694,5.415,46.3899,29.5794
GRU-sg9,0.655,0.0376,0.7067,0.6095,0.2328,0.0884,0.3378,0.11,0.0975,0.0058,0.105,0.0912,42.1969,4.296,47.4396,37.1309
DNN-sg9,0.5173,0.0523,0.5863,0.45,0.5182,0.0965,0.639,0.3873,0.0779,0.0071,0.0852,0.0653,29.3014,5.3196,34.8935,20.8561
LSTM-sg9,0.6168,0.0287,0.6733,0.5943,0.3205,0.0651,0.3705,0.1921,0.0929,0.0043,0.1014,0.0898,39.0463,3.5633,45.9931,35.9321
CNN-ew2,0.7605,0.021,0.782,0.7208,-0.0316,0.056,0.0741,-0.0901,0.1166,0.0012,0.1188,0.1153,58.071,4.3307,66.5901,54.7679
RNN-ew2,0.6143,0.0727,0.7393,0.5272,0.3181,0.1654,0.5046,0.0259,0.0903,0.011,0.1093,0.0769,38.0262,7.838,51.2778,28.2334
GRU-ew2,0.5996,0.0616,0.6682,0.5243,0.3525,0.1297,0.5101,0.2041,0.0893,0.0086,0.0998,0.0788,36.9416,6.3328,44.9713,29.0884
DNN-ew2,0.5186,0.1056,0.7077,0.389,0.5008,0.211,0.7302,0.1074,0.0772,0.0169,0.1086,0.0599,30.053,14.0893,57.1171,16.4547
LSTM-ew2,0.6366,0.0344,0.6691,0.578,0.2757,0.0766,0.4045,0.2021,0.0952,0.0049,0.0992,0.0865,40.9809,3.8666,44.7135,34.4824
CNN-ew3,0.7465,0.0945,0.8526,0.5692,-0.009,0.2354,0.4225,-0.2955,0.1133,0.0171,0.1336,0.0818,53.4075,12.096,66.8083,30.6985
RNN-ew3,0.5861,0.079,0.6591,0.4883,0.3767,0.1607,0.575,0.2257,0.0863,0.0114,0.0965,0.0723,34.9578,8.0597,42.5232,25.0355
