,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.7326,0.091,0.7778,0.4611,0.0287,0.1991,0.6211,-0.0783,0.1108,0.0144,0.1178,0.0677,51.8904,10.039,56.7656,21.8245
RNN-obs,0.5832,0.0735,0.6958,0.4874,0.3841,0.1548,0.5766,0.1371,0.0866,0.0103,0.1022,0.0738,35.2757,7.3724,46.1343,26.036
GRU-obs,0.6574,0.0558,0.7728,0.5928,0.2241,0.1367,0.3737,-0.0645,0.0978,0.0086,0.115,0.0881,42.7894,5.9811,54.3527,35.2454
DNN-obs,0.6333,0.2204,1.0847,0.3321,0.1985,0.5542,0.8034,-1.0971,0.1125,0.0647,0.2819,0.0595,58.0164,49.6078,179.4501,16.4256
LSTM-obs,0.6253,0.0402,0.6796,0.5555,0.3003,0.0879,0.45,0.1769,0.0937,0.0056,0.1017,0.0838,39.6684,4.0118,45.6108,32.7991
CNN-sg5,0.7252,0.0438,0.7686,0.626,0.0593,0.1103,0.3015,-0.053,0.1098,0.0088,0.1191,0.0906,52.3934,8.6807,70.1023,36.8517
RNN-sg5,0.5925,0.0876,0.7385,0.4476,0.3607,0.1866,0.643,0.0278,0.0887,0.0134,0.1107,0.0689,36.7837,9.4452,52.002,22.6144
GRU-sg5,0.6365,0.0608,0.7206,0.5257,0.2713,0.1337,0.5075,0.0746,0.0944,0.0087,0.1062,0.0785,40.4391,6.3763,49.1845,28.6928
DNN-sg5,0.5567,0.1337,0.7816,0.3532,0.4158,0.268,0.7776,-0.0889,0.0835,0.0192,0.118,0.0588,34.3144,14.9491,60.161,15.5002
LSTM-sg5,0.6335,0.0269,0.6765,0.5889,0.2833,0.0608,0.3819,0.1843,0.0945,0.0035,0.0999,0.0884,40.3435,2.5847,44.3558,36.0792
CNN-sg7,0.708,0.0845,0.7673,0.4912,0.094,0.1917,0.57,-0.0492,0.1073,0.0137,0.1162,0.0735,51.1909,11.0476,63.7985,24.6087
RNN-sg7,0.5718,0.0714,0.6894,0.4665,0.4081,0.1479,0.6121,0.153,0.0851,0.0109,0.1027,0.0682,34.3116,7.6924,47.0579,22.7712
GRU-sg7,0.6638,0.0399,0.7255,0.6108,0.2118,0.0949,0.3351,0.0618,0.0983,0.0061,0.1078,0.0895,42.8634,4.1526,49.4131,36.9668
DNN-sg7,0.5815,0.1207,0.826,0.4534,0.3713,0.2693,0.6336,-0.216,0.0892,0.022,0.1276,0.0666,38.3363,17.4397,67.8918,20.5161
LSTM-sg7,0.6341,0.0348,0.6923,0.5658,0.2813,0.0778,0.4295,0.1457,0.095,0.005,0.1035,0.0858,40.8243,4.0555,47.4171,33.3112
