,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.785,0.0337,0.8178,0.69,-0.0997,0.09,0.152,-0.1912
RNN-obs,0.7171,0.0466,0.814,0.6488,0.0801,0.1209,0.2502,-0.1802
GRU-obs,0.7684,0.0311,0.829,0.7232,-0.0536,0.0864,0.0684,-0.2241
DNN-obs,0.7598,0.152,1.1834,0.5975,-0.0694,0.4945,0.3641,-1.4944
LSTM-obs,0.7391,0.0257,0.7851,0.696,0.0257,0.0674,0.1373,-0.0978
CNN-sg5,0.7872,0.0218,0.8062,0.7413,-0.1048,0.06,0.0211,-0.1578
RNN-sg5,0.7286,0.0595,0.8064,0.6229,0.0481,0.1533,0.3088,-0.1584
GRU-sg5,0.7556,0.0357,0.8096,0.6882,-0.0192,0.0949,0.1563,-0.1675
DNN-sg5,0.7163,0.0661,0.8008,0.5924,0.0784,0.1654,0.375,-0.1421
LSTM-sg5,0.7454,0.015,0.7713,0.7215,0.0099,0.0398,0.0728,-0.0596
CNN-sg7,0.7674,0.0412,0.8006,0.6563,-0.052,0.1072,0.2328,-0.1416
RNN-sg7,0.7088,0.0481,0.7879,0.6517,0.1012,0.1227,0.2435,-0.1059
GRU-sg7,0.771,0.0204,0.8026,0.7376,-0.0595,0.0561,0.0308,-0.1474
DNN-sg7,0.7392,0.046,0.8157,0.6714,0.0228,0.1222,0.1971,-0.1851
LSTM-sg7,0.7462,0.0232,0.7834,0.7013,0.0073,0.0612,0.124,-0.0933
CNN-sg9,0.7641,0.0485,0.8004,0.641,-0.0442,0.1257,0.2682,-0.1411
RNN-sg9,0.7122,0.0362,0.7828,0.6571,0.0943,0.0923,0.231,-0.0913
GRU-sg9,0.7543,0.0375,0.8102,0.6707,-0.016,0.0986,0.1988,-0.1692
DNN-sg9,0.7949,0.1487,1.2047,0.6306,-0.1647,0.4975,0.2917,-1.585
LSTM-sg9,0.7603,0.0245,0.7898,0.7153,-0.0308,0.0657,0.0887,-0.1111
CNN-ew2,0.7945,0.0185,0.8134,0.7497,-0.125,0.0517,-0.0012,-0.1783
RNN-ew2,0.7253,0.0432,0.8225,0.67,0.0597,0.1144,0.2005,-0.205
GRU-ew2,0.7531,0.0375,0.7951,0.6903,-0.0126,0.0994,0.1512,-0.1261
DNN-ew2,0.7285,0.0935,0.9379,0.5885,0.0392,0.2558,0.3832,-0.5668
LSTM-ew2,0.7435,0.0224,0.7751,0.7036,0.0146,0.0593,0.1183,-0.0702
CNN-ew3,0.7814,0.0543,0.8233,0.6214,-0.0929,0.1383,0.3122,-0.2074
RNN-ew3,0.6902,0.0302,0.7326,0.6311,0.1499,0.0734,0.2906,0.044
GRU-ew3,0.7585,0.0418,0.8367,0.7023,-0.028,0.1138,0.1215,-0.2469
DNN-ew3,0.7298,0.0615,0.8065,0.6005,0.0447,0.1549,0.3578,-0.1586
LSTM-ew3,0.7507,0.0115,0.7709,0.7296,-0.0041,0.0308,0.0518,-0.0586
CNN-ew4,0.8441,0.1815,1.3818,0.7074,-0.3279,0.6953,0.1087,-2.4011
RNN-ew4,0.6979,0.0347,0.7571,0.6352,0.1302,0.0859,0.2813,-0.0209
GRU-ew4,0.7626,0.0288,0.8015,0.6912,-0.0373,0.0766,0.149,-0.1442
DNN-ew4,0.7726,0.0447,0.8685,0.694,-0.0668,0.1244,0.1422,-0.3436
LSTM-ew4,0.7491,0.0213,0.7905,0.7217,-0.0003,0.0572,0.0722,-0.1132
CNN-or,0.7967,0.0781,0.9778,0.6351,-0.1416,0.2265,0.2815,-0.703
RNN-or,0.7296,0.053,0.8054,0.6635,0.047,0.1386,0.2159,-0.1554
GRU-or,0.7601,0.0198,0.7904,0.7219,-0.0297,0.0536,0.0718,-0.1129
DNN-or,0.8007,0.1471,1.2331,0.6953,-0.1806,0.5154,0.139,-1.7084
LSTM-or,0.7377,0.0181,0.767,0.7112,0.0302,0.0478,0.099,-0.0479
