,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,0.5365,0.5859,0.0567,0.0,0.0,0.0,0.2286,0.8595,0.3639,0.3434,0.8388,0.1005,0.0351,0.1062,0.0314,0.0,0.0,0.0,0.0,0.0,0.0
RNN-obs,0.2668,0.9133,0.0206,0.0,0.0,0.0,0.002,0.2689,0.2642,0.0013,0.915,0.9119,0.0002,0.0208,0.0204,0.0,0.0,0.0,0.0,0.0,0.0
GRU-obs,0.2536,0.9217,0.0189,0.0,0.0,0.0,0.0035,0.2575,0.249,0.0021,0.9245,0.9193,0.0002,0.0192,0.0187,0.0,0.0,0.0,0.0,0.0,0.0
DNN-obs,0.3774,0.8266,0.0319,0.0,0.0,0.0,0.0048,0.3837,0.372,0.0044,0.8315,0.8208,0.0002,0.0322,0.0317,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-obs,0.2398,0.9299,0.0175,0.0,0.0,0.0,0.0014,0.2413,0.238,0.0008,0.931,0.9291,0.0001,0.0176,0.0173,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg5,0.3609,0.8415,0.0313,0.0,0.0,0.0,0.0,0.3609,0.3608,0.0,0.8415,0.8415,0.0,0.0313,0.0313,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg5,0.2382,0.9309,0.0195,0.0,0.0,0.0,0.0017,0.2405,0.2363,0.001,0.932,0.9296,0.0002,0.0198,0.0192,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg5,0.2223,0.9398,0.0178,0.0,0.0,0.0,0.0029,0.2262,0.2194,0.0016,0.9414,0.9377,0.0004,0.0184,0.0175,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg5,0.3756,0.828,0.0319,0.0,0.0,0.0,0.0142,0.3946,0.3606,0.013,0.8417,0.8105,0.0007,0.0329,0.0313,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg5,0.2137,0.9444,0.0166,0.0,0.0,0.0,0.0011,0.2153,0.2127,0.0006,0.9449,0.9436,0.0001,0.0167,0.0165,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg7,0.3628,0.8397,0.0315,0.0,0.0,0.0,0.0053,0.3703,0.359,0.0048,0.8431,0.833,0.0002,0.0318,0.0314,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg7,0.2427,0.9283,0.0201,0.0,0.0,0.0,0.0035,0.2476,0.2399,0.0021,0.9299,0.9253,0.0001,0.0203,0.02,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg7,0.2243,0.9388,0.018,0.0,0.0,0.0,0.0041,0.2274,0.2185,0.0022,0.9419,0.9371,0.0005,0.0184,0.0173,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg7,0.3649,0.8378,0.0316,0.0,0.0,0.0,0.005,0.3713,0.3592,0.0044,0.8429,0.8321,0.0002,0.0318,0.0314,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg7,0.2165,0.9429,0.018,0.0,0.0,0.0,0.0004,0.2168,0.216,0.0002,0.9432,0.9428,0.0002,0.0182,0.0177,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg9,0.5272,0.5958,0.0567,0.0,0.0,0.0,0.2326,0.8561,0.361,0.3451,0.8414,0.1077,0.0352,0.1066,0.0318,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg9,0.2397,0.93,0.0205,0.0,0.0,0.0,0.0014,0.2417,0.2384,0.0008,0.9308,0.9289,0.0001,0.0207,0.0204,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg9,0.213,0.9447,0.0174,0.0,0.0,0.0,0.0017,0.2153,0.2115,0.0009,0.9455,0.9435,0.0002,0.0176,0.0172,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg9,0.3662,0.8367,0.0319,0.0,0.0,0.0,0.0003,0.3665,0.3658,0.0003,0.8371,0.8364,0.0,0.032,0.0319,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg9,0.2173,0.9425,0.0188,0.0,0.0,0.0,0.0012,0.2187,0.2157,0.0006,0.9433,0.9418,0.0002,0.0191,0.0186,0.0,0.0,0.0,0.0,0.0,0.0
CNN-ew2,0.6909,0.3522,0.0814,0.0,0.0,0.0,0.234,0.8564,0.3599,0.3466,0.8423,0.107,0.0354,0.1064,0.0313,0.0,0.0,0.0,0.0,0.0,0.0
RNN-ew2,0.2435,0.9278,0.0191,0.0,0.0,0.0,0.0024,0.2467,0.2411,0.0014,0.9292,0.9259,0.0004,0.0196,0.0187,0.0,0.0,0.0,0.0,0.0,0.0
GRU-ew2,0.2271,0.9372,0.017,0.0,0.0,0.0,0.0024,0.2302,0.2245,0.0013,0.9386,0.9355,0.0004,0.0174,0.0166,0.0,0.0,0.0,0.0,0.0,0.0
DNN-ew2,0.372,0.8315,0.0318,0.0,0.0,0.0,0.0089,0.3814,0.36,0.008,0.8422,0.8229,0.0003,0.0322,0.0313,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-ew2,0.2169,0.9427,0.0161,0.0,0.0,0.0,0.0016,0.2184,0.2147,0.0008,0.9439,0.9419,0.0,0.0161,0.0161,0.0,0.0,0.0,0.0,0.0,0.0
CNN-ew3,0.6955,0.3477,0.0823,0.0,0.0,0.0,0.2283,0.8569,0.3727,0.3417,0.8309,0.1061,0.0357,0.1076,0.0319,0.0,0.0,0.0,0.0,0.0,0.0
RNN-ew3,0.2399,0.9299,0.0193,0.0,0.0,0.0,0.0031,0.2441,0.2367,0.0018,0.9318,0.9275,0.0001,0.0194,0.0191,0.0,0.0,0.0,0.0,0.0,0.0
GRU-ew3,0.2218,0.9401,0.0167,0.0,0.0,0.0,0.0013,0.2236,0.2208,0.0007,0.9406,0.9391,0.0,0.0167,0.0167,0.0,0.0,0.0,0.0,0.0,0.0
DNN-ew3,0.3651,0.8377,0.0316,0.0,0.0,0.0,0.0052,0.3716,0.359,0.0046,0.8431,0.8318,0.0002,0.0319,0.0314,0.0,0.0,0.0,0.0,0.0,0.0
