,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.8374,0.1483,0.0402,0.8927,0.7981,0.0827,0.2282,0.0344
RNN-obs,0.7962,0.2318,0.0031,0.7991,0.792,0.0059,0.24,0.2263
GRU-obs,0.8187,0.1877,0.012,0.8315,0.8027,0.0237,0.2193,0.1623
DNN-obs,0.8279,0.1694,0.0138,0.8467,0.814,0.0278,0.1971,0.1314
LSTM-obs,0.7943,0.2353,0.0126,0.8117,0.782,0.0244,0.259,0.2018
CNN-sg5,0.8062,0.2125,0.0006,0.807,0.8058,0.0011,0.2133,0.211
RNN-sg5,0.7856,0.2522,0.008,0.793,0.7744,0.0152,0.2734,0.2381
GRU-sg5,0.8649,0.0937,0.0061,0.8707,0.8564,0.0128,0.1114,0.0815
DNN-sg5,0.8391,0.146,0.0289,0.8758,0.8053,0.0588,0.2143,0.0707
LSTM-sg5,0.801,0.2225,0.0091,0.8102,0.7886,0.0176,0.2465,0.2047
CNN-sg7,0.8234,0.1785,0.0086,0.8356,0.8172,0.0172,0.1909,0.1541
RNN-sg7,0.7626,0.2947,0.0224,0.7937,0.7419,0.0418,0.3331,0.2366
GRU-sg7,0.8355,0.1542,0.008,0.8445,0.8251,0.0161,0.1751,0.1359
DNN-sg7,0.8307,0.1637,0.0097,0.8414,0.818,0.0194,0.1892,0.1422
LSTM-sg7,0.9184,-0.022,0.0048,0.9249,0.9133,0.0108,-0.0107,-0.0365
CNN-sg9,0.8548,0.1137,0.0271,0.8927,0.8312,0.0566,0.1628,0.0344
RNN-sg9,0.754,0.3112,0.0058,0.7602,0.7463,0.0105,0.3252,0.2999
GRU-sg9,0.8259,0.1732,0.015,0.8462,0.8102,0.0302,0.2047,0.1324
DNN-sg9,0.8475,0.1298,0.0031,0.8518,0.8448,0.0063,0.1352,0.1209
LSTM-sg9,0.908,0.001,0.0013,0.9094,0.9062,0.003,0.005,-0.0021
CNN-ew2,0.864,0.0935,0.0399,0.8923,0.8076,0.0822,0.2097,0.0353
RNN-ew2,0.763,0.2946,0.0094,0.7761,0.7549,0.0174,0.3095,0.2702
GRU-ew2,0.7991,0.2263,0.006,0.8035,0.7906,0.0116,0.2426,0.2178
DNN-ew2,0.8374,0.1499,0.0215,0.8575,0.8076,0.0433,0.2098,0.109
LSTM-ew2,0.7647,0.2913,0.0133,0.783,0.7517,0.0248,0.3153,0.2571
CNN-ew3,0.8762,0.0689,0.0275,0.8956,0.8373,0.0577,0.1505,0.0281
RNN-ew3,0.7336,0.3478,0.0063,0.7401,0.7251,0.0112,0.363,0.3363
GRU-ew3,0.7712,0.2793,0.011,0.7865,0.7608,0.0208,0.2987,0.2505
DNN-ew3,0.8312,0.1627,0.0119,0.845,0.8159,0.024,0.1934,0.1349
LSTM-ew3,0.774,0.2735,0.0236,0.8071,0.754,0.0446,0.3112,0.2108
CNN-ew4,0.8715,0.0783,0.0342,0.8987,0.8233,0.0712,0.1787,0.0214
RNN-ew4,0.738,0.3399,0.008,0.7494,0.732,0.0144,0.3507,0.3195
GRU-ew4,0.7921,0.2396,0.0125,0.8019,0.7745,0.0237,0.2731,0.2209
DNN-ew4,0.8467,0.1313,0.0078,0.8532,0.8357,0.016,0.1538,0.1181
LSTM-ew4,0.791,0.2416,0.0131,0.8091,0.7786,0.0252,0.2654,0.2068
CNN-or,0.8357,0.1518,0.0411,0.8938,0.8065,0.0847,0.2118,0.032
RNN-or,0.7311,0.3523,0.0076,0.7414,0.7233,0.0135,0.3661,0.3339
GRU-or,0.7681,0.2852,0.0009,0.7691,0.767,0.0017,0.2873,0.2832
DNN-or,0.8163,0.1924,0.014,0.836,0.8056,0.0278,0.2136,0.1531
LSTM-or,0.7846,0.2541,0.0007,0.7856,0.784,0.0014,0.2553,0.2521
