,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.7605,0.0555,0.8099,0.6088,-0.0356,0.1401,0.3398,-0.1685
RNN-obs,0.6989,0.0508,0.7724,0.6409,0.1253,0.1281,0.2684,-0.0627
GRU-obs,0.749,0.0214,0.78,0.7094,0.0,0.0569,0.1035,-0.0836
DNN-obs,0.767,0.0536,0.8307,0.632,-0.053,0.1401,0.2885,-0.2293
LSTM-obs,0.7412,0.0234,0.7858,0.7038,0.0204,0.0622,0.1176,-0.0997
CNN-sg5,0.809,0.0767,1.0267,0.7413,-0.1761,0.2439,0.0212,-0.8775
RNN-sg5,0.7161,0.0545,0.7997,0.6302,0.0814,0.1392,0.2927,-0.139
GRU-sg5,0.7761,0.0268,0.8256,0.7257,-0.0742,0.0738,0.062,-0.2141
DNN-sg5,0.7354,0.0445,0.791,0.6434,0.0333,0.1129,0.2627,-0.1144
LSTM-sg5,0.7719,0.0151,0.8087,0.7516,-0.0616,0.042,-0.0061,-0.1649
CNN-sg7,0.8128,0.0379,0.8506,0.7409,-0.1792,0.1078,0.0222,-0.2888
RNN-sg7,0.7436,0.0554,0.8664,0.6797,0.0096,0.1515,0.177,-0.3371
GRU-sg7,0.794,0.0505,0.912,0.7224,-0.1275,0.1471,0.0706,-0.4814
DNN-sg7,0.7635,0.0653,0.8443,0.6573,-0.0458,0.1741,0.2304,-0.2698
LSTM-sg7,0.7707,0.0172,0.7944,0.7385,-0.0586,0.0468,0.0286,-0.1242
CNN-sg9,0.8519,0.0414,0.8867,0.7511,-0.2957,0.1212,-0.0047,-0.4004
RNN-sg9,0.7257,0.053,0.8004,0.6142,0.0569,0.1348,0.3281,-0.141
GRU-sg9,0.8269,0.0479,0.9121,0.7707,-0.222,0.1439,-0.0581,-0.4819
DNN-sg9,0.7743,0.0527,0.8477,0.6744,-0.0729,0.1439,0.19,-0.2799
LSTM-sg9,0.8186,0.0245,0.8603,0.7884,-0.1946,0.0719,-0.1071,-0.3182
CNN-ew2,0.8041,0.0386,0.8678,0.746,-0.1542,0.11,0.0089,-0.3414
RNN-ew2,0.6877,0.0456,0.7424,0.6154,0.154,0.1111,0.3255,0.0183
GRU-ew2,0.7803,0.0386,0.8382,0.6892,-0.0872,0.1048,0.154,-0.2514
DNN-ew2,0.736,0.0697,0.8585,0.611,0.0266,0.1808,0.3351,-0.3127
LSTM-ew2,0.7566,0.0261,0.7932,0.7165,-0.0207,0.0705,0.0855,-0.1206
CNN-ew3,0.8029,0.0393,0.8484,0.7235,-0.1509,0.1099,0.0677,-0.282
RNN-ew3,0.7242,0.0352,0.7938,0.6827,0.0637,0.0924,0.1698,-0.1222
GRU-ew3,0.7872,0.0444,0.8466,0.6961,-0.1073,0.1218,0.1369,-0.2767
DNN-ew3,0.7505,0.0549,0.88,0.6964,-0.0086,0.1533,0.1361,-0.3794
LSTM-ew3,0.7568,0.025,0.807,0.7078,-0.0212,0.0676,0.1076,-0.16
CNN-ew4,0.8362,0.066,0.8898,0.667,-0.2533,0.1834,0.2075,-0.4103
RNN-ew4,0.7174,0.0548,0.8481,0.6617,0.078,0.1463,0.2202,-0.2812
GRU-ew4,0.7783,0.0373,0.8302,0.7014,-0.0814,0.1023,0.1237,-0.2277
DNN-ew4,0.8,0.0718,0.9137,0.6235,-0.1492,0.1956,0.3075,-0.487
LSTM-ew4,0.8028,0.028,0.8357,0.7376,-0.1495,0.0786,0.031,-0.2439
CNN-or,0.7789,0.0392,0.8071,0.6647,-0.0834,0.1022,0.213,-0.1604
RNN-or,0.722,0.0365,0.7759,0.6716,0.0692,0.0941,0.1967,-0.0722
GRU-or,0.7578,0.0325,0.8032,0.7048,-0.0248,0.0873,0.1152,-0.1492
DNN-or,0.7442,0.0506,0.806,0.6554,0.0088,0.1326,0.2348,-0.157
LSTM-or,0.7535,0.0209,0.7852,0.7066,-0.012,0.0556,0.1108,-0.0981
