,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
LSTM-obs,5.5865,0.9044,0.0152,6.2415,0.8218,3.125e-06,0.0214,5.616,5.566,0.0007,0.9051,0.9034,0.0002,0.0155,0.0149,0.1121,6.3806,6.1061,0.03,0.8637,0.7954
Transformer-obs,10.8942,0.6358,0.0325,6.6968,1.7471,7.8125e-07,0.48,11.4066,10.2525,0.0317,0.678,0.6015,0.0013,0.0336,0.0307,0.114,6.8537,6.5861,0.1416,1.9285,1.5829
LSTM-sg5,5.1344,0.9191,0.0141,3.955,0.7123,6.25e-06,0.2327,5.4609,4.9361,0.0074,0.9254,0.9087,0.0011,0.0156,0.0132,0.0682,4.034,3.8676,0.0204,0.739,0.6894
Transformer-sg5,10.5289,0.6601,0.0313,5.7021,1.5018,7.8125e-07,0.3571,10.8865,10.0413,0.0229,0.6912,0.637,0.0006,0.0318,0.0305,0.1563,5.8215,5.4814,0.0191,1.5288,1.4872
LSTM-sg7,4.881,0.9269,0.0133,2.8394,0.7211,1.25e-05,0.1996,5.1628,4.7248,0.006,0.9316,0.9184,0.001,0.0145,0.0121,0.1151,2.9215,2.6766,0.0271,0.7406,0.6828
Transformer-sg7,10.5593,0.6563,0.0301,4.8485,1.4984,1.5625e-06,0.8339,11.4377,9.4387,0.0531,0.7271,0.5993,0.0024,0.0325,0.0268,0.1418,5.0104,4.6652,0.168,1.7358,1.3734
LSTM-sg9,4.9372,0.9253,0.0138,2.3618,0.7188,3.125e-06,0.129,5.0396,4.7552,0.0039,0.9307,0.9222,0.0004,0.0142,0.0132,0.06,2.436,2.289,0.0117,0.7349,0.7075
Transformer-sg9,10.7524,0.6457,0.0316,4.5663,1.4085,7.8125e-07,0.2481,11.1024,10.5562,0.0165,0.6587,0.6224,0.0008,0.0328,0.031,0.1428,4.7197,4.3758,0.1104,1.5409,1.2706
LSTM-ew2,5.1749,0.9179,0.0144,4.2118,0.8011,3.125e-06,0.1202,5.2819,5.0071,0.0038,0.9232,0.9145,0.0007,0.0154,0.0138,0.1963,4.3867,3.9376,0.0331,0.8479,0.7777
Transformer-ew2,10.9743,0.6309,0.0328,5.4595,1.7069,7.8125e-07,0.2507,11.3233,10.7457,0.017,0.6463,0.6073,0.0012,0.0343,0.0315,0.2269,5.7759,5.2551,0.1173,1.8681,1.5923
LSTM-ew3,5.0667,0.9213,0.0146,3.467,0.8,2.5e-05,0.0844,5.1394,4.9484,0.0026,0.925,0.9191,0.0003,0.0149,0.0144,0.1605,3.6064,3.2423,0.0099,0.814,0.7923
Transformer-ew3,10.4513,0.6649,0.0315,4.6479,1.6352,1.5625e-06,0.4374,10.8764,9.8496,0.0277,0.7029,0.6377,0.0009,0.0323,0.0303,0.2649,4.9663,4.3179,0.055,1.6936,1.5616
LSTM-ew4,4.9627,0.9245,0.0151,3.1314,0.8575,1.25e-05,0.1433,5.1432,4.7926,0.0043,0.9296,0.919,0.0005,0.0158,0.0147,0.1692,3.2533,2.8922,0.029,0.878,0.8165
Transformer-ew4,10.8678,0.6377,0.0338,4.5595,1.8385,3.90625e-07,0.4057,11.1914,10.2957,0.0266,0.6753,0.6164,0.0005,0.0342,0.0331,0.0919,4.6429,4.4314,0.0685,1.9346,1.78
