,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
GRU-sg7-3,0.4739,0.0132,0.4918,0.4603,0.5998,0.0225,0.6227,0.5692
RNN-sg7-3,0.5051,0.0109,0.5187,0.492,0.5454,0.0197,0.5689,0.5207
LSTM-or-3,0.5093,0.0053,0.5162,0.5034,0.5379,0.0096,0.5487,0.5254
GRU-anchor,0.4399,0.0128,0.4571,0.4263,0.655,0.0202,0.6763,0.6278
GRU-attn,0.4795,0.0144,0.4994,0.4655,0.59,0.0249,0.6141,0.5557
RNN-attn,0.4806,0.0103,0.4911,0.4667,0.5884,0.0174,0.612,0.5705
LSTM-attn,0.6164,0.0055,0.622,0.6089,0.3232,0.0121,0.3396,0.3108
LSTM-anchor,0.4897,0.0115,0.5029,0.4749,0.5727,0.02,0.5984,0.5496
RNN-anchor,0.4513,0.0053,0.4575,0.4445,0.6371,0.0086,0.648,0.6271
Transformer,0.8199,0.0113,0.8337,0.806,-0.1974,0.033,-0.1571,-0.2379
