,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,14.7613,0.2677,4.2187,17.7499,8.7951,0.3479,0.7597,0.0211
RNN-obs,8.6601,0.767,0.0161,8.6761,8.6381,0.0009,0.7682,0.7661
GRU-obs,8.0634,0.7979,0.1336,8.2422,7.9212,0.0067,0.805,0.7889
DNN-obs,8.8028,0.7592,0.0868,8.9219,8.7176,0.0048,0.7639,0.7527
LSTM-obs,8.1373,0.7942,0.1564,8.2568,7.9163,0.0079,0.8053,0.7882
CNN-sg5,17.6591,0.0311,0.0171,17.683,17.6438,0.0019,0.0328,0.0285
RNN-sg5,8.2064,0.7907,0.1679,8.4089,7.9977,0.0086,0.8013,0.7803
GRU-sg5,7.7476,0.8135,0.0871,7.8164,7.6248,0.0042,0.8194,0.8102
DNN-sg5,8.467,0.7772,0.0522,8.5282,8.4007,0.0027,0.7807,0.774
LSTM-sg5,7.8335,0.8093,0.0735,7.8865,7.7295,0.0036,0.8144,0.8067
CNN-sg7,14.4857,0.2858,4.4751,17.6546,8.157,0.3588,0.7933,0.0316
RNN-sg7,7.4967,0.8254,0.0354,7.5466,7.4678,0.0017,0.8267,0.823
GRU-sg7,7.374,0.831,0.0592,7.4577,7.3293,0.0027,0.8331,0.8272
DNN-sg7,8.2305,0.7895,0.0067,8.2367,8.2212,0.0003,0.79,0.7892
LSTM-sg7,7.4117,0.8293,0.1152,7.5699,7.299,0.0053,0.8345,0.822
CNN-sg9,17.6799,0.0288,0.0036,17.6839,17.6752,0.0004,0.0293,0.0284
RNN-sg9,7.2293,0.8376,0.0387,7.2703,7.1775,0.0017,0.8399,0.8358
GRU-sg9,7.223,0.8379,0.0858,7.3379,7.1319,0.0039,0.842,0.8327
DNN-sg9,8.2885,0.7865,0.1155,8.4507,8.1907,0.006,0.7916,0.7781
LSTM-sg9,6.9325,0.8507,0.085,7.0461,6.8417,0.0037,0.8546,0.8457
CNN-ew2,11.4109,0.5348,4.4178,17.6585,8.2743,0.3562,0.7873,0.0311
RNN-ew2,8.0537,0.7984,0.1751,8.2239,7.8128,0.0087,0.8103,0.7899
GRU-ew2,7.6271,0.8192,0.1012,7.7621,7.5186,0.0048,0.8244,0.8128
DNN-ew2,8.5343,0.7737,0.0822,8.6134,8.421,0.0044,0.7797,0.7695
LSTM-ew2,7.5133,0.8245,0.119,7.6484,7.3588,0.0055,0.8317,0.8182
CNN-ew3,11.3841,0.5368,4.4142,17.6263,8.1965,0.355,0.7913,0.0347
RNN-ew3,7.6476,0.8182,0.1279,7.757,7.4681,0.0061,0.8267,0.813
GRU-ew3,7.3544,0.8319,0.0879,7.4681,7.2541,0.004,0.8365,0.8267
DNN-ew3,8.3559,0.7831,0.0347,8.4049,8.3291,0.0018,0.7845,0.7805
LSTM-ew3,7.3496,0.8321,0.1001,7.4899,7.2637,0.0046,0.8361,0.8257
CNN-ew4,17.6093,0.0365,0.0041,17.6133,17.6037,0.0004,0.0371,0.0361
RNN-ew4,7.6888,0.8163,0.0487,7.7431,7.6249,0.0023,0.8194,0.8137
GRU-ew4,7.4123,0.8293,0.0062,7.4199,7.4047,0.0003,0.8296,0.8289
DNN-ew4,8.3179,0.785,0.0554,8.3773,8.244,0.0029,0.7888,0.7819
LSTM-ew4,6.9658,0.8493,0.0355,7.0159,6.937,0.0015,0.8505,0.8471
