,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,0.4894,0.5049,0.0766,20.7513,6.8473,3.90625e-07,0.1957,0.766,0.3428,0.3895,0.7905,-0.0458,0.0279,0.116,0.0567,13.5615,39.9297,11.0424,5.1726,14.1624,3.1763
RNN-obs,0.2489,0.8895,0.0437,6.8123,1.461,1.25e-05,0.0061,0.2557,0.2408,0.0055,0.8967,0.8834,0.0012,0.0449,0.0421,0.2921,7.0274,6.3994,0.0628,1.5419,1.3887
GRU-obs,0.248,0.8903,0.042,6.2262,1.2439,3.125e-06,0.0051,0.2542,0.2418,0.0045,0.8958,0.8848,0.0006,0.0427,0.0413,0.0873,6.3468,6.1425,0.0131,1.2589,1.227
DNN-obs,0.3592,0.77,0.0563,11.0844,3.2792,1.5625e-06,0.0036,0.3641,0.3554,0.0047,0.7749,0.7637,0.0006,0.0571,0.0557,0.0168,11.1081,11.0707,0.0695,3.3413,3.1821
LSTM-obs,0.2472,0.8909,0.0411,5.7387,1.1552,2.5e-05,0.009,0.2599,0.2405,0.008,0.8969,0.8796,0.0007,0.0416,0.0401,0.1397,5.9362,5.638,0.0109,1.1638,1.1398
CNN-sg5,0.6395,0.2028,0.0977,30.529,10.4813,1.953125e-07,0.1957,0.7792,0.3628,0.3978,0.7654,-0.082,0.0286,0.1182,0.0573,14.6556,41.1292,9.8046,5.1321,14.2225,3.2246
RNN-sg5,0.2293,0.9063,0.0413,4.3781,1.416,6.25e-06,0.0034,0.2332,0.2249,0.0028,0.9099,0.9031,0.0009,0.0424,0.0402,0.1874,4.6356,4.1951,0.0397,1.4698,1.3754
GRU-sg5,0.2355,0.9011,0.0392,2.9825,1.1839,6.25e-06,0.0077,0.2421,0.2247,0.0064,0.91,0.8955,0.0008,0.0402,0.0382,0.1478,3.1823,2.8293,0.0114,1.1996,1.173
DNN-sg5,0.3567,0.7732,0.0573,9.8366,3.2342,1.5625e-06,0.003,0.361,0.3543,0.0039,0.7763,0.7677,0.0005,0.058,0.0567,0.1174,9.9998,9.7286,0.0589,3.2985,3.1562
LSTM-sg5,0.2405,0.8969,0.0387,2.6562,1.1531,3.125e-06,0.0056,0.2484,0.2357,0.0048,0.901,0.8901,0.0004,0.0394,0.0384,0.112,2.8021,2.5299,0.0323,1.1983,1.1248
CNN-sg7,0.5034,0.464,0.0795,19.6077,6.8977,1.953125e-07,0.2174,0.8109,0.3493,0.4498,0.7825,-0.1721,0.0317,0.1242,0.0571,15.9601,42.1785,8.2379,5.253,14.3265,3.1559
RNN-sg7,0.2236,0.9109,0.0417,3.2708,1.4258,3.125e-06,0.0018,0.2259,0.2214,0.0015,0.9127,0.9091,0.0007,0.0426,0.0409,0.1092,3.401,3.1337,0.0365,1.4772,1.3966
