[[ 0.0509834   0.30295047]
 [ 0.19318584  0.29022715]
 [ 0.46506355  0.28386105]
 [ 0.55134564  0.28184997]
 [ 0.4543383   0.28055357]
 [ 0.42430881  0.28625848]
 [ 0.37249813  0.28954878]
 [ 0.33125118  0.29467105]
 [ 0.29264129  0.29565698]
 [ 0.30727897  0.29629015]
 [ 0.45155754  0.29775302]
 [ 0.69905953  0.31305105]
 [ 0.98578142  0.52370012]
 [ 1.13668394  0.70600923]
 [ 1.15890105  0.6740545 ]
 [ 1.37650952  0.50448445]
 [ 0.87745414  0.3460901 ]
 [ 0.511191    0.30909107]
 [ 0.24308083  0.30064793]
 [ 0.1781079   0.29369173]
 [ 0.33435441  0.29019362]
 [ 0.25708246  0.28668757]
 [ 0.23516096  0.28468818]
 [ 0.26482779  0.2801938 ]
 [ 0.31851856  0.27583432]
 [ 0.38320412  0.27370492]
 [ 0.43201414  0.27035973]
 [ 0.45609528  0.26513497]
 [ 0.44994828  0.25958705]
 [ 0.40882874  0.25409162]
 [ 0.36056872  0.25010212]
 [ 0.32093864  0.2430877 ]
 [ 0.28734521  0.23704227]
 [ 0.28295893  0.25394492]
 [ 0.31812407  0.27758772]
 [ 0.42570145  0.37805358]
 [ 0.61706424  0.5058248 ]
 [ 0.71242546  0.42402938]
 [ 0.83111442  0.29710765]
 [ 0.75034495  0.24896283]
 [ 0.29328781  0.2393755 ]
 [ 0.19049811  0.23652855]
 [ 0.25065821  0.23554078]
 [ 0.26781461  0.23867597]
 [ 0.22437881  0.23789   ]
 [ 0.18988882  0.23887452]
 [ 0.17431338  0.23946555]
 [ 0.15433918  0.24059787]
 [ 0.16761851  0.24325408]
 [ 0.19170583  0.24721737]
 [ 0.23822257  0.25025375]
 [ 0.28793249  0.25508905]
 [ 0.32796879  0.25953635]
 [ 0.34102518  0.26342983]
 [ 0.34470944  0.26856492]
 [ 0.34701106  0.27387863]
 [ 0.31952341  0.27920727]
 [ 0.30515264  0.28685845]
 [ 0.31821014  0.35159495]
 [ 0.36043086  0.45978987]
 [ 0.41033022  0.50078713]
 [ 0.5201299   0.42379207]
 [ 0.49314681  0.33746572]
 [ 0.37579315  0.29489227]
 [ 0.25357703  0.2939395 ]
 [ 0.26489516  0.34802063]
 [ 0.31189151  0.64164572]
 [ 0.35609449  1.06024563]
 [ 0.4232121   1.328144  ]
 [ 0.61211046  0.91038222]
 [ 0.79898347  0.4891912 ]
 [ 0.62726958  0.33859598]
 [-0.20242435  0.30047488]
 [ 0.29896496  0.28312415]
 [ 0.52437788  0.27830142]
 [ 0.64605148  0.27488822]
 [ 0.58975304  0.27530763]
 [ 0.5761837   0.27578477]
 [ 0.5143834   0.28052635]
 [ 0.44726763  0.28666018]
 [ 0.37061925  0.6789349 ]
 [ 0.35966286  2.5632385 ]
 [ 0.46133727  3.90734967]
 [ 1.29526872  5.06154283]
 [ 2.52236213  4.278677  ]
 [ 2.82859395  3.00537617]
 [ 3.6269309   1.746906  ]
 [ 1.12723194  0.89345032]
 [ 1.91928573  0.53570292]
 [ 0.79800118  0.39746703]
 [ 1.25832798  0.35211122]
 [ 0.99085202  0.33105205]
 [ 0.4023973   0.321686  ]
 [-0.14713721  0.31137132]
 [-0.3400549   0.30205293]
 [-0.10684474  0.294767  ]
 [ 0.44657571  0.29056278]
 [ 1.30321519  0.28715485]
 [ 2.14218092  0.28611982]
 [ 2.33162033  0.28729163]
 [ 2.26045624  0.28570832]
 [ 1.83817442  0.2870087 ]
 [ 1.46918061  0.29063947]
 [ 0.98972786  0.2958276 ]
 [ 0.62038251  0.29991155]
 [ 0.59163578  0.30595582]
 [ 1.05911425  0.36677432]
 [ 2.14050925  1.00315185]
 [ 3.39486297  1.4677415 ]
 [ 4.12166173  1.50005933]
 [ 4.59944587  1.3646045 ]
 [ 2.74191914  1.08210835]
 [ 1.07812724  0.72516717]
 [ 0.62281014  0.49203272]
 [ 0.481052    0.3896513 ]
 [ 0.33554141  0.3778135 ]
 [ 0.45034157  0.39708775]
 [ 0.41584117  0.34608875]
 [ 0.42358059  0.30974888]
 [ 0.40336141  0.29047453]]
