[[-0.0181613   0.30295047]
 [ 0.05336261  0.29022715]
 [ 0.42346283  0.28386105]
 [ 0.4987391   0.28184997]
 [ 0.43245678  0.28055357]
 [ 0.40475079  0.28625848]
 [ 0.36097061  0.28954878]
 [ 0.32785339  0.29467105]
 [ 0.30269021  0.29565698]
 [ 0.29899237  0.29629015]
 [ 0.38173598  0.29775302]
 [ 0.55833414  0.31305105]
 [ 0.86027995  0.52370012]
 [ 1.11983809  0.70600923]
 [ 1.20032156  0.6740545 ]
 [ 1.47296725  0.50448445]
 [ 0.86110448  0.3460901 ]
 [ 0.49316998  0.30909107]
 [ 0.20090209  0.30064793]
 [ 0.16186072  0.29369173]
 [ 0.40692319  0.29019362]
 [ 0.32021622  0.28668757]
 [ 0.27355986  0.28468818]
 [ 0.29192137  0.2801938 ]
 [ 0.33677825  0.27583432]
 [ 0.37665362  0.27370492]
 [ 0.40006072  0.27035973]
 [ 0.40977748  0.26513497]
 [ 0.39258912  0.25958705]
 [ 0.3521128   0.25409162]
 [ 0.31496674  0.25010212]
 [ 0.28685275  0.2430877 ]
 [ 0.26457162  0.23704227]
 [ 0.25972234  0.25394492]
 [ 0.27561998  0.27758772]
 [ 0.3491862   0.37805358]
 [ 0.52659427  0.5058248 ]
 [ 0.65599497  0.42402938]
 [ 0.85507511  0.29710765]
 [ 0.76431461  0.24896283]
 [ 0.21869997  0.2393755 ]
 [ 0.17018884  0.23652855]
 [ 0.24090777  0.23554078]
 [ 0.25898766  0.23867597]
 [ 0.18977615  0.23789   ]
 [ 0.15788012  0.23887452]
 [ 0.17141844  0.23946555]
 [ 0.1739823   0.24059787]
 [ 0.21043311  0.24325408]
 [ 0.24529561  0.24721737]
 [ 0.28133427  0.25025375]
 [ 0.30732299  0.25508905]
 [ 0.32020037  0.25953635]
 [ 0.31539029  0.26342983]
 [ 0.30558069  0.26856492]
 [ 0.29211978  0.27387863]
 [ 0.27540594  0.27920727]
 [ 0.27385672  0.28685845]
 [ 0.29123704  0.35159495]
 [ 0.34217454  0.45978987]
 [ 0.42320913  0.50078713]
 [ 0.58818308  0.42379207]
 [ 0.56334112  0.33746572]
 [ 0.39775077  0.29489227]
 [ 0.23536109  0.2939395 ]
 [ 0.26039078  0.34802063]
 [ 0.31053833  0.64164572]
 [ 0.36782117  1.06024563]
 [ 0.45771589  1.328144  ]
 [ 0.70587918  0.91038222]
 [ 0.94235193  0.4891912 ]
 [ 0.73882705  0.33859598]
 [-0.34170941  0.30047488]
 [ 0.10239811  0.28312415]
 [ 0.37956393  0.27830142]
 [ 0.48371594  0.27488822]
 [ 0.40396718  0.27530763]
 [ 0.372888    0.27578477]
 [ 0.32571183  0.28052635]
 [ 0.30366298  0.28666018]
 [ 0.27777702  0.6789349 ]
 [ 0.2976378   2.5632385 ]
 [ 0.38662047  3.90734967]
 [ 1.21283971  5.06154283]
 [ 2.83044994  4.278677  ]
 [ 3.10224078  3.00537617]
 [ 4.35238783  1.746906  ]
 [ 0.47986803  0.89345032]
 [ 1.84381727  0.53570292]
 [-0.05173918  0.39746703]
 [ 0.9099918   0.35211122]
 [ 0.48991779  0.33105205]
 [ 0.2068203   0.321686  ]
 [ 0.05102333  0.31137132]
 [ 0.44853033  0.30205293]
 [ 0.86387536  0.294767  ]
 [ 1.18885775  0.29056278]
 [ 1.58305919  0.28715485]
 [ 1.94365698  0.28611982]
 [ 1.80711359  0.28729163]
 [ 1.34638451  0.28570832]
 [ 1.10292525  0.2870087 ]
 [ 0.91496183  0.29063947]
 [ 0.68077202  0.2958276 ]
 [ 0.47257274  0.29991155]
 [ 0.4100494   0.30595582]
 [ 0.62610851  0.36677432]
 [ 1.39717451  1.00315185]
 [ 2.71889266  1.4677415 ]
 [ 4.01557307  1.50005933]
 [ 5.16574865  1.3646045 ]
 [ 2.80089539  1.08210835]
 [ 1.15270753  0.72516717]
 [ 0.64952644  0.49203272]
 [ 0.50657209  0.3896513 ]
 [ 0.27370353  0.3778135 ]
 [ 0.48271699  0.39708775]
 [ 0.4971209   0.34608875]
 [ 0.56255743  0.30974888]
 [ 0.53076752  0.29047453]]
