[[ 0.3294416   0.32961278]
 [ 0.21835764  0.30295047]
 [ 0.41255845  0.29022715]
 [ 0.38659751  0.28386105]
 [ 0.3169285   0.28184997]
 [ 0.28373575  0.28055357]
 [ 0.25742435  0.28625848]
 [ 0.25943314  0.28954878]
 [ 0.28309226  0.29467105]
 [ 0.32699483  0.29565698]
 [ 0.41395323  0.29629015]
 [ 0.49504819  0.29775302]
 [ 0.57226681  0.31305105]
 [ 0.60340976  0.52370012]
 [ 0.62133481  0.70600923]
 [ 1.02706117  0.6740545 ]
 [ 0.88466922  0.50448445]
 [ 0.44459464  0.3460901 ]
 [ 0.27109819  0.30909107]
 [ 0.25812388  0.30064793]
 [ 0.36195877  0.29369173]
 [ 0.33425327  0.29019362]
 [ 0.31679223  0.28668757]
 [ 0.31350245  0.28468818]
 [ 0.31633776  0.2801938 ]
 [ 0.31579687  0.27583432]
 [ 0.30487232  0.27370492]
 [ 0.29448455  0.27035973]
 [ 0.28451647  0.26513497]
 [ 0.26902331  0.25958705]
 [ 0.2528625   0.25409162]
 [ 0.24795225  0.25010212]
 [ 0.25397685  0.2430877 ]
 [ 0.27179265  0.23704227]
 [ 0.28982511  0.25394492]
 [ 0.32043736  0.27758772]
 [ 0.39779055  0.37805358]
 [ 0.43336413  0.5058248 ]
 [ 0.61068784  0.42402938]
 [ 0.65547933  0.29710765]
 [ 0.20572536  0.24896283]
 [ 0.16177567  0.2393755 ]
 [ 0.26624104  0.23652855]
 [ 0.24989696  0.23554078]
 [ 0.22910389  0.23867597]
 [ 0.2225091   0.23789   ]
 [ 0.22808404  0.23887452]
 [ 0.22334092  0.23946555]
 [ 0.23210085  0.24059787]
 [ 0.23772097  0.24325408]
 [ 0.24448979  0.24721737]
 [ 0.25154725  0.25025375]
 [ 0.25786871  0.25508905]
 [ 0.25912033  0.25953635]
 [ 0.26509621  0.26342983]
 [ 0.2718836   0.26856492]
 [ 0.27861612  0.27387863]
 [ 0.29563427  0.27920727]
 [ 0.31276512  0.28685845]
 [ 0.33249139  0.35159495]
 [ 0.3534986   0.45978987]
 [ 0.49686799  0.50078713]
 [ 0.57741474  0.42379207]
 [ 0.4374977   0.33746572]
 [ 0.26146171  0.29489227]
 [ 0.28180748  0.2939395 ]
 [ 0.31970379  0.34802063]
 [ 0.34205126  0.64164572]
 [ 0.43739765  1.06024563]
 [ 0.83590137  1.328144  ]
 [ 1.17208935  0.91038222]
 [ 0.99428725  0.4891912 ]
 [-0.04937278  0.33859598]
 [ 0.20581889  0.30047488]
 [ 0.44838494  0.28312415]
 [ 0.36684674  0.27830142]
 [ 0.30584523  0.27488822]
 [ 0.26702062  0.27530763]
 [ 0.23605427  0.27578477]
 [ 0.25328473  0.28052635]
 [ 0.27539491  0.28666018]
 [ 0.33636498  0.6789349 ]
 [ 0.41944372  2.5632385 ]
 [ 1.39562842  3.90734967]
 [ 4.32416336  5.06154283]
 [ 4.28444587  4.278677  ]
 [ 4.64965233  3.00537617]
 [ 1.65138803  1.746906  ]
 [ 1.58730867  0.89345032]
 [ 1.19246134  0.53570292]
 [ 0.80313215  0.39746703]
 [ 0.80628553  0.35211122]
 [ 0.63299554  0.33105205]
 [ 0.54733578  0.321686  ]
 [ 0.59668806  0.31137132]
 [ 0.65109086  0.30205293]
 [ 0.66406494  0.294767  ]
 [ 0.65579783  0.29056278]
 [ 0.62077928  0.28715485]
 [ 0.57528014  0.28611982]
 [ 0.22529947  0.28729163]
 [ 0.2448905   0.28570832]
 [ 0.22171572  0.2870087 ]
 [ 0.21165313  0.29063947]
 [ 0.28338154  0.2958276 ]
 [ 0.48883336  0.29991155]
 [ 0.79269541  0.30595582]
 [ 1.20212371  0.36677432]
 [ 1.51126742  1.00315185]
 [ 1.74510521  1.4677415 ]
 [ 2.9205637   1.50005933]
 [ 2.27633424  1.3646045 ]
 [ 0.97974689  1.08210835]
 [ 0.97077128  0.72516717]
 [ 0.74272068  0.49203272]
 [ 0.47645915  0.3896513 ]
 [ 0.49702667  0.3778135 ]
 [ 0.47160316  0.39708775]
 [ 0.50472779  0.34608875]
 [ 0.52393593  0.30974888]]
