[[ 0.28410164  0.32961278]
 [ 0.23099156  0.30295047]
 [ 0.38586983  0.29022715]
 [ 0.39616554  0.28386105]
 [ 0.33484897  0.28184997]
 [ 0.28835051  0.28055357]
 [ 0.24414769  0.28625848]
 [ 0.23023419  0.28954878]
 [ 0.24611204  0.29467105]
 [ 0.28852039  0.29565698]
 [ 0.37833721  0.29629015]
 [ 0.45869133  0.29775302]
 [ 0.54424718  0.31305105]
 [ 0.58208963  0.52370012]
 [ 0.59990816  0.70600923]
 [ 1.00322231  0.6740545 ]
 [ 0.82854406  0.50448445]
 [ 0.4641925   0.3460901 ]
 [ 0.27469382  0.30909107]
 [ 0.27073505  0.30064793]
 [ 0.3891765   0.29369173]
 [ 0.34734369  0.29019362]
 [ 0.33632815  0.28668757]
 [ 0.3169565   0.28468818]
 [ 0.31946778  0.2801938 ]
 [ 0.31846126  0.27583432]
 [ 0.30862547  0.27370492]
 [ 0.29830633  0.27035973]
 [ 0.28646412  0.26513497]
 [ 0.26842845  0.25958705]
 [ 0.2479874   0.25409162]
 [ 0.23869963  0.25010212]
 [ 0.24225086  0.2430877 ]
 [ 0.25990602  0.23704227]
 [ 0.27861875  0.25394492]
 [ 0.30784126  0.27758772]
 [ 0.37921893  0.37805358]
 [ 0.40575422  0.5058248 ]
 [ 0.59801196  0.42402938]
 [ 0.6376776   0.29710765]
 [ 0.19060099  0.24896283]
 [ 0.19081765  0.2393755 ]
 [ 0.25884622  0.23652855]
 [ 0.26643698  0.23554078]
 [ 0.25203993  0.23867597]
 [ 0.24090358  0.23789   ]
 [ 0.24085733  0.23887452]
 [ 0.22936263  0.23946555]
 [ 0.23588492  0.24059787]
 [ 0.23846634  0.24325408]
 [ 0.24643027  0.24721737]
 [ 0.25364813  0.25025375]
 [ 0.25986984  0.25508905]
 [ 0.26058432  0.25953635]
 [ 0.2667228   0.26342983]
 [ 0.27741516  0.26856492]
 [ 0.28347572  0.27387863]
 [ 0.2986273   0.27920727]
 [ 0.31388426  0.28685845]
 [ 0.33437637  0.35159495]
 [ 0.3551653   0.45978987]
 [ 0.5014371   0.50078713]
 [ 0.58882459  0.42379207]
 [ 0.45571685  0.33746572]
 [ 0.24746855  0.29489227]
 [ 0.26560474  0.2939395 ]
 [ 0.30266351  0.34802063]
 [ 0.34454089  0.64164572]
 [ 0.44662106  1.06024563]
 [ 0.90861637  1.328144  ]
 [ 1.29543546  0.91038222]
 [ 1.24201718  0.4891912 ]
 [-0.05106417  0.33859598]
 [ 0.20500414  0.30047488]
 [ 0.33059769  0.28312415]
 [ 0.38643359  0.27830142]
 [ 0.32753076  0.27488822]
 [ 0.27721851  0.27530763]
 [ 0.22179213  0.27578477]
 [ 0.21082206  0.28052635]
 [ 0.22580344  0.28666018]
 [ 0.29502511  0.6789349 ]
 [ 0.3874762   2.5632385 ]
 [ 1.39097815  3.90734967]
 [ 4.6928208   5.06154283]
 [ 4.64691373  4.278677  ]
 [ 5.56450968  3.00537617]
 [ 1.12117463  1.746906  ]
 [ 1.4243956   0.89345032]
 [ 0.54861195  0.53570292]
 [ 0.93934013  0.39746703]
 [ 0.93913329  0.35211122]
 [ 0.86946205  0.33105205]
 [ 0.73908907  0.321686  ]
 [ 0.72633101  0.31137132]
 [ 0.71883975  0.30205293]
 [ 0.69882218  0.294767  ]
 [ 0.68731017  0.29056278]
 [ 0.67031021  0.28715485]
 [ 0.59904367  0.28611982]
 [ 0.1684102   0.28729163]
 [ 0.28189969  0.28570832]
 [ 0.08236802  0.2870087 ]
 [ 0.06883484  0.29063947]
 [ 0.12586671  0.2958276 ]
 [ 0.35474547  0.29991155]
 [ 0.65463398  0.30595582]
 [ 1.06213141  0.36677432]
 [ 1.38480711  1.00315185]
 [ 1.64830371  1.4677415 ]
 [ 2.86723848  1.50005933]
 [ 2.09163786  1.3646045 ]
 [ 1.13947956  1.08210835]
 [ 0.8965997   0.72516717]
 [ 0.63210078  0.49203272]
 [ 0.42896751  0.3896513 ]
 [ 0.49117694  0.3778135 ]
 [ 0.48147458  0.39708775]
 [ 0.53525267  0.34608875]
 [ 0.52548752  0.30974888]]
