,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,16.0979,0.1546,3.1463,18.3236,11.6483,0.2963,0.5736,-0.055
RNN-obs,11.3231,0.5969,0.261,11.6912,11.1153,0.0187,0.6118,0.5705
GRU-obs,11.0383,0.6171,0.1416,11.1751,10.8432,0.0098,0.6305,0.6076
DNN-obs,11.9503,0.551,0.2694,12.1715,11.571,0.0201,0.5793,0.5345
LSTM-obs,11.4346,0.589,0.1717,11.6732,11.2766,0.0124,0.6004,0.5718
CNN-sg5,13.568,0.3876,3.2884,18.2184,11.2401,0.3044,0.603,-0.0429
RNN-sg5,11.8835,0.556,0.3065,12.2931,11.556,0.023,0.5804,0.5251
GRU-sg5,11.3166,0.5974,0.2561,11.6786,11.1266,0.0184,0.611,0.5714
DNN-sg5,11.387,0.5923,0.2667,11.7615,11.1606,0.0192,0.6086,0.5653
LSTM-sg5,12.0701,0.5421,0.1827,12.2626,11.8245,0.0138,0.5606,0.5275
CNN-sg7,15.9094,0.1707,3.2893,18.2405,11.2576,0.3049,0.6018,-0.0455
RNN-sg7,11.2484,0.6022,0.2774,11.628,10.9729,0.0198,0.6217,0.5751
GRU-sg7,11.6038,0.5763,0.4295,12.2111,11.2947,0.0317,0.5991,0.5315
DNN-sg7,11.4676,0.5868,0.0527,11.5379,11.4111,0.0038,0.5908,0.5817
LSTM-sg7,11.4195,0.5898,0.359,11.8494,10.9706,0.0257,0.6218,0.5588
CNN-sg9,13.5338,0.3894,3.338,18.2545,11.1634,0.3087,0.6084,-0.0471
RNN-sg9,10.7674,0.6353,0.3473,11.1304,10.2993,0.0234,0.6667,0.6107
GRU-sg9,10.5404,0.6506,0.3282,10.8752,10.0946,0.0216,0.6798,0.6284
DNN-sg9,12.0171,0.5451,0.5957,12.4567,11.1749,0.0442,0.6076,0.5124
LSTM-sg9,10.5276,0.6517,0.1019,10.6575,10.4086,0.0068,0.6596,0.6431
CNN-ew2,15.9559,0.1675,3.2172,18.2336,11.406,0.2996,0.5912,-0.0447
RNN-ew2,11.5695,0.5792,0.2484,11.7915,11.2228,0.0179,0.6042,0.5631
GRU-ew2,10.8169,0.6323,0.0987,10.9238,10.6858,0.0067,0.6412,0.625
DNN-ew2,11.8136,0.5597,0.7417,12.8582,11.2093,0.0562,0.6052,0.4805
LSTM-ew2,11.2934,0.5991,0.2078,11.4978,11.0083,0.0147,0.6192,0.5846
CNN-ew3,15.9087,0.1715,3.2509,18.2109,11.3113,0.3016,0.598,-0.0421
RNN-ew3,11.1651,0.6081,0.2828,11.5009,10.8091,0.0198,0.6329,0.5844
GRU-ew3,10.7856,0.6341,0.3269,11.1595,10.3632,0.0221,0.6625,0.6087
DNN-ew3,11.4361,0.5891,0.0114,11.451,11.4234,0.0008,0.59,0.588
LSTM-ew3,10.4937,0.6537,0.3192,10.8098,10.0565,0.0209,0.6822,0.6328
CNN-ew4,13.565,0.3882,3.2667,18.1848,11.2395,0.3022,0.603,-0.0391
RNN-ew4,10.9001,0.6265,0.1927,11.1721,10.7497,0.0133,0.6369,0.6078
GRU-ew4,10.4877,0.6543,0.1418,10.6021,10.2879,0.0093,0.6674,0.6468
DNN-ew4,11.3043,0.5983,0.2175,11.5886,11.0606,0.0155,0.6156,0.578
LSTM-ew4,10.33,0.6647,0.0218,10.3604,10.3101,0.0014,0.666,0.6627
