,E_Coli,TRC,DO,TSS*,Colour,Turbidity,pH,TON,BOD5,NH3_N
1,16,0.02,6.77,,43,0.25,6.9,2,0.54,0.42
2,16,0.02,6.89,2.3,47,0.18,6.79,1.4,4.56,0.57
3,20,0.01,6.61,2.2,49,0.23,6.71,1,7.17,
4,17,0.04,6.7,2.1,55,0.25,6.69,1.4,7.84,0.25
5,186,0.04,6.53,,48,0.25,6.63,0,7.78,0.16
6,69,0.03,6.88,2.9,49,0.22,6.66,0,7.76,0.04
7,28,0,6.72,2.2,49,0.16,6.7,0,5.22,0.06
8,117,0.04,6.6,2.4,93,0.28,7.01,12,1.03,0.09
9,46,0.01,7.08,2.1,80,0.19,7.02,0,0.59,0.04
10,56,0.02,6.89,2.1,81,0.21,6.89,1.4,0.47,0.09
11,47,0.03,7,2.4,77,0.15,6.94,2,0.51,0.35
12,46,0.02,6.59,2.3,76,0.24,6.89,1.4,0.66,0.24
13,86,0.01,7.73,2.3,77,0.22,6.92,4,0.73,0.16
14,56,0.01,6.93,2.2,73,0.16,6.97,0,0.44,0.1
15,15,0.08,7.09,2.2,67,0.18,7.13,8,0.44,0.03
16,16,0.03,7.02,2.5,70,0.17,6.96,12,0.46,0.21
17,12,0.04,6.92,2.3,73,0.19,6.74,12,0.44,0.51
18,21,0.02,6.88,2.2,71,0.2,6.45,12,0.42,0.39
19,27,0.01,6.94,2.1,95,0.14,6.67,12,0.42,0.57
20,19,0.01,6.97,2.2,74,0.15,6.7,12,0.4,0.2
21,42,0.01,7.07,2.2,72,0.15,6.83,12,0.46,0.06
22,8,0.04,6.88,2.2,50,0.18,6.72,,0.57,0.04
23,8,0.03,7.01,2.2,50,0.17,6.49,,0.05,0.12
24,15,0.03,7.01,2.4,56,0.15,6.57,,1.41,0.08
25,12,0.03,7.07,2.2,68,0.15,6.72,,1.27,0.04
26,75,0.03,7.16,2.4,60,0.23,6.89,,1.4,0.03
27,74,0.03,7.21,2.3,65,0.19,6.78,,0.77,0.02
28,18,0.04,7.25,2.3,69,0.19,6.76,,0.79,0.02
29,16,0.03,6.1,2.3,73,0.19,6.99,12,0.1,1.75
30,10,0.01,6.23,3.3,79,0.2,7.12,17,0.6,4.59
31,7,0.02,6.18,2.4,81,0.19,7.12,17,0.35,4.21
32,7,0.05,5.86,2.4,74,0.18,7.08,12,0.24,4.05
33,8,0,5.77,2.4,73,0.19,7.02,12,0.28,2.98
34,10,0.01,5.64,2.3,72,0.19,6.97,17,0.62,1.53
35,5,0.02,5.91,2.3,73,0.18,6.91,12,0.99,0.54
36,8,0,6.43,2.3,74,0.21,7.02,8,0.3,0.61
37,8,0.02,6.26,2.2,79,0.19,7.03,8,0.42,2.05
38,12,0.03,6.28,,82,0.14,7.05,8,0.37,2.03
39,25,0.03,6.18,,93,0.16,6.98,12,0.33,1.28
40,8,0.03,6.18,,87,0.2,7.03,12,0.42,0.71
41,9,0.03,6.51,2.6,88,0.17,7.12,12,0.46,0.34
42,26,0.02,6.39,2.5,,0.17,7.09,,0.76,0.18
43,9,0.02,6.12,2.6,81,0.17,7.05,12,0.79,0.84
44,18,0.02,6.12,2.7,83,0.16,7.16,12,0.86,1.86
45,40,0.02,6.12,2.6,83,0.2,7.1,17,0.97,2.06
46,23,0.03,6.07,2.6,85,0.17,7.12,12,0.75,1.69
47,51,0.02,6.03,2.6,83,0.16,7.1,12,0.84,1.14
48,50,0.03,6.33,2.6,84,0.18,7.14,17,0.72,0.78
49,54,0.02,6.33,2.7,85,0.17,7.13,12,0.4,0.56
50,5,0.06,5.7,2.8,39,0.17,6.86,8,0.79,2.74
51,3,0.05,5.93,2.6,41,0.14,6.9,17,0.86,3.03
52,5,0.03,5.96,2.6,47,0.18,6.92,12,0.97,3.66
53,5,0.02,6.01,2.6,47,0.2,6.95,12,0.75,3.29
54,4,0.04,5.94,2.6,45,0.18,6.95,12,0.84,3.14
55,12,0.01,5.85,2.6,48,0.18,6.9,12,0.72,3.19
56,13,0.03,6.01,2.6,50,0.18,6.91,12,0.4,2.55
57,12,0.01,6.06,2.5,35,0.2,6.81,,0.92,1.23
58,4,0.04,6.15,2.5,38,0.19,6.81,,1.03,2.18
59,4,0.04,6.33,2.6,51,0.18,6.92,,0.77,1.91
60,6,0.04,6.24,2.6,42,0.21,6.9,,0.37,1.34
61,10,0.03,6.25,2.6,42,0.19,6.9,,0.11,0.81
62,12,0.01,6.28,2.6,68,0.19,6.91,,0.34,0.47
63,7,0.03,6.36,2.6,51,0.19,6.95,,0.48,0.39
64,14,0.06,6.21,2.6,55,0.25,7.02,17,0.58,1.99
65,18,0.03,6.16,2.7,60,0.26,7.07,6,0.62,3.27
66,23,0.04,5.92,2.7,61,0.2,7.07,8,0.65,3.79
67,13,0.03,6.18,2.7,64,0.29,7.15,8,0.59,3.91
68,28,0.07,6.02,2.7,72,0.31,7.12,8,0.56,4.05
69,27,0.01,5.93,2.7,73,0.19,7.11,8,0.63,3.46
70,20,0.03,6.05,2.7,79,0.24,7.06,8,2.82,2
71,9,0.04,6.03,2.7,53,0.21,6.97,4,1.09,1.37
72,13,0.03,5.9,2.7,57,0.24,6.99,6,0.77,2.6
73,20,0.05,6.08,2.7,62,0.24,7.03,6,0.92,3.24
74,25,0.04,6.06,2.7,65,0.25,7.04,6,0.86,3.19
75,25,0.01,5.79,2.7,69,0.19,6.98,6,1.2,2.71
76,21,0.01,6.1,2.7,71,0.2,7.06,6,0.86,1.93
77,23,0.03,6.12,2.8,72,0.15,7.1,6,0.96,1.26
78,12,0.04,6.22,2.7,54,0.17,7.09,,1.2,1.83
79,16,0.03,6.04,2.7,59,0.15,7.05,,1.52,3.2
80,17,0.03,5.91,2.6,66,0.13,7.07,,0.79,3.12
81,18,0.04,6.05,2.7,70,0.12,7.05,,0.97,2.58
82,14,0.01,6.1,2.7,74,0.12,7.08,,1.28,2.13
83,19,0.02,5.9,2.7,76,0.13,7.02,,0.93,1.5
84,17,0,6.24,2.8,78,0.13,6.98,,0.81,0.99
85,4,0.08,5.92,3,62,0.13,7.01,4,1.01,1.52
86,14,0.04,6.12,2.8,66,0.18,7.07,4,0.91,2.28
87,12,0.05,5.9,2.9,68,0.12,7.06,3,0.88,2.74
88,27,0.02,5.93,2.9,77,0.14,7.04,3,1.32,3
89,13,0.05,6.02,2.8,99,0.14,7.06,3,0.91,3.01
90,21,0.01,5.84,2.9,104,0.15,7.09,2,1.18,3.01
91,30,0.03,5.95,2.8,103,0.16,7.12,4,0.91,2.69
92,12,0.02,6.09,2.8,72,0.18,7.02,,0.97,1.74
93,12,0.03,6.06,2.8,74,0.19,7.09,,0.98,3.18
94,18,0,5.86,2.8,80,0.18,7.05,,0.97,3.56
95,23,0.03,6.1,2.8,86,0.19,7.11,,1.04,3.28
96,22,0,6.08,2.8,90,0.14,7.09,,0.98,2.6
97,25,0.05,6,2.8,100,0.17,7.16,,1.02,1.84
